names-seq	TempDenDG	SomBuLong1	SomSurfCGL1	DenLen1Tem	DenSurf1Tem	LongPlusLongBulle	SurfPlusLongBulle	Den_Reg1	Den_Reg2	Den_Reg3	Den_Reg4	Den_Reg5	Den_Reg6	PcA	PcT	PcG	PcC	PcAA	PcAT	PcAG	PcAC	PcTA	PcTT	PcTG	PcTC	PcGA	PcGT	PcGG	PcGC	PcCA	PcCT	PcCG	PcCC	diffCGMax%Bu	%CMaxBu	%GMinBu	diffCGmoy%	%CMoyBu	%GMoyBu	%AMoyBu	%TMoyBu	Nb_Reg1Bu	Nb_Reg2Bu	Nb_Reg3Bu	Nb_Reg4Bu	Nb_Reg5Bu	Nb_Reg6Bu	PcTTT	PcTTC	PcTTA	PcTTG	PcCTT	PcCTC	PcCTA	PcCTG	PcATT	PcATC	PcATA	PcATG	PcGTT	PcGTC	PcGTA	PcGTG	PcTAT	PcTAC	PcTAA	PcTAG	PcCAT	PcCAC	PcCAA	PcCAG	PcAAT	PcAAC	PcAAA	PcAAG	PcGAT	PcGAC	PcGAA	PcGAG	PcTCT	PcTCC	PcTCA	PcTCG	PcCCT	PcCCC	PcCCA	PcCCG	PcACT	PcACC	PcACA	PcACG	PcGCT	PcGCC	PcGCA	PcGCG	PcTGT	PcTGC	PcTGA	PcTGG	PcCGT	PcCGC	PcCGA	PcCGG	PcAGT	PcAGC	PcAGA	PcAGG	PcGGT	PcGGC	PcGGA	PcGGG
T029	-287.8205128205128	95	564.1025641025639	304.48717948717945	1808.021038790269	77	526.9230769230767	112.18	41.67	16.03	3.21	0.0	0.0	23.4	25.0	25.96	25.64	4.5	7.07	4.18	5.79	3.86	6.11	6.75	6.43	6.43	5.79	4.18	8.68	7.07	3.86	9.97	4.5	12.82051282051282	0.28205128205128205	0.15384615384615385	6.843156843156844	0.2585747585747586	0.1901431901431901	0.2897102897102897	0.26157176157176154	15	7	4	1	0	0	1.92	1.6	1.92	1.92	1.28	0.64	0.32	1.6	2.56	2.24	0.32	1.92	1.6	1.6	1.28	1.28	0.96	0.96	1.28	0.64	2.24	1.28	0.96	2.24	1.28	2.24	1.6	0.64	2.56	0.96	1.92	0.32	1.28	1.28	2.24	1.6	0.32	0.32	1.92	2.24	0.64	1.28	1.6	2.24	1.6	1.92	1.28	3.85	0.32	2.88	2.24	1.28	3.21	2.24	1.92	2.24	1.28	1.28	0.96	0.32	0.96	1.92	0.96	0.96
T033	-375.17482517482523	0	0.0	0.0	0.0	0	0.0	90.91	26.22	13.99	5.24	3.5	0.0	25.52	19.23	33.92	21.33	7.18	3.68	8.41	4.03	4.55	3.33	7.18	3.68	7.01	7.71	8.58	8.06	4.73	4.03	7.18	4.38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.52	0.7	1.4	1.05	0.52	0.35	0.87	2.27	0.35	0.87	0.7	1.75	2.27	1.75	1.57	1.92	0.7	0.35	2.62	0.87	1.05	0.52	1.05	1.92	1.05	1.57	2.1	4.2	0.87	1.4	3.15	1.4	0.17	1.4	0.87	1.22	0.87	1.05	1.75	1.57	0.52	1.05	0.87	1.57	2.45	1.75	1.05	2.62	2.27	1.92	1.05	1.92	1.57	0.87	2.27	2.45	1.22	2.27	1.57	3.32	2.62	2.97	2.1	2.62
T053	-367.00680272108843	0	0.0	0.0	0.0	0	0.0	93.54	35.71	18.71	3.4	0.0	0.0	24.49	20.07	32.65	22.79	6.13	4.09	7.5	5.45	4.09	4.09	7.67	3.75	8.18	6.64	8.01	8.01	4.77	4.6	7.67	4.43	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.51	0.85	1.53	1.53	1.19	1.02	0.34	2.04	1.02	0.85	0.68	1.53	1.53	1.02	1.53	2.55	0.0	1.36	1.7	1.02	0.85	0.85	1.36	1.7	1.87	1.7	1.36	2.38	1.36	1.53	2.89	2.38	0.68	1.02	1.02	1.02	1.36	1.02	0.68	2.04	1.19	1.53	0.68	2.04	1.36	1.53	2.38	2.55	1.19	1.87	2.04	2.55	1.87	1.87	1.36	2.55	1.02	2.04	2.04	2.04	2.55	2.21	2.38	1.7
T019	-354.05872193436966	0	0.0	0.0	0.0	0	0.0	69.08	6.91	0.0	0.0	0.0	0.0	23.14	23.14	32.12	21.59	5.36	6.06	4.84	5.19	3.81	4.84	9.52	3.63	7.09	5.71	7.96	9.52	5.02	5.19	8.13	2.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.38	0.69	2.07	1.73	1.21	0.69	0.35	2.76	1.73	1.55	0.35	2.42	1.55	0.52	1.04	2.59	1.38	1.21	0.86	0.17	1.21	0.86	0.69	2.25	1.21	1.73	1.73	1.38	1.9	1.38	2.76	1.04	0.52	0.52	1.38	1.21	0.35	0.69	0.52	1.55	1.38	0.86	1.04	1.9	2.94	1.04	2.07	3.28	1.73	2.94	1.9	2.94	1.73	1.21	1.55	3.45	0.35	1.55	1.38	1.38	1.9	3.63	2.07	1.73
T071	-284.6254927726676	0	0.0	0.0	0.0	0	0.0	74.9	24.97	6.57	0.0	0.0	0.0	27.2	28.78	28.25	15.77	6.71	8.16	7.11	2.76	6.71	6.97	8.55	4.21	6.45	7.63	6.58	5.39	5.0	3.68	3.82	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	2.1	0.92	2.76	2.1	0.79	0.53	0.39	1.84	2.23	1.71	1.45	2.76	2.76	0.92	2.1	1.84	2.37	1.18	2.23	0.92	1.18	0.26	1.31	2.23	2.5	0.79	2.23	2.5	2.1	0.53	2.37	1.18	0.66	1.18	1.71	0.66	0.92	0.26	0.92	1.18	0.79	0.66	0.79	0.53	1.31	1.18	1.45	1.45	1.84	1.58	2.1	3.02	0.92	0.79	0.79	1.31	2.23	1.31	1.84	1.58	2.63	1.71	1.58	2.1
T072	-303.89610389610385	0	0.0	0.0	0.0	0	0.0	51.95	10.39	1.3	0.0	0.0	0.0	28.57	22.99	31.3	17.14	7.93	5.72	8.71	2.86	4.55	5.46	8.45	2.21	8.32	6.11	7.15	8.97	4.42	3.38	6.24	2.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.95	0.65	1.3	2.47	1.04	0.39	0.39	1.56	1.56	0.65	1.3	2.21	1.82	0.52	1.56	2.08	1.56	0.52	1.56	0.78	0.39	0.26	1.82	1.95	2.21	1.17	3.12	3.38	1.43	0.91	3.38	2.47	0.52	0.78	0.52	0.39	0.39	0.26	0.78	1.56	0.52	0.52	0.39	1.43	1.95	1.43	2.6	2.6	1.04	1.56	2.6	3.12	1.69	1.43	1.56	1.43	1.3	2.99	2.08	2.34	1.95	2.86	2.08	0.65
T078	-337.06896551724134	0	0.0	0.0	0.0	0	0.0	70.2	20.94	7.39	2.46	1.23	0.0	27.09	20.44	31.53	20.94	5.8	5.43	7.64	5.92	3.45	3.45	8.26	4.32	9.62	5.8	6.78	7.89	5.92	4.81	7.4	2.47	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.74	0.99	0.62	1.35	0.74	0.62	0.49	2.83	0.74	1.48	1.11	2.09	1.48	1.11	1.23	1.97	1.23	1.23	0.86	0.12	0.62	0.99	1.23	3.08	1.35	1.85	2.09	1.72	2.22	1.85	2.83	2.59	1.11	0.49	1.6	1.11	0.49	0.25	0.49	1.48	0.62	1.23	1.85	1.97	2.46	0.74	1.72	2.71	0.74	1.97	3.08	2.46	2.46	1.35	1.23	2.22	0.86	2.46	2.59	1.72	1.72	1.97	2.71	1.35
T058	-305.0684931506849	0	0.0	0.0	0.0	0	0.0	67.12	17.81	4.11	0.0	0.0	0.0	29.45	24.11	29.45	16.99	7.13	8.5	5.76	5.76	6.31	4.39	9.05	2.88	8.23	6.72	7.96	4.53	5.49	3.02	4.66	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.23	0.96	2.05	0.96	0.14	0.0	0.14	2.74	1.92	1.23	2.19	2.88	1.92	0.68	1.64	2.19	1.92	1.78	2.05	0.14	1.1	0.96	1.23	2.19	2.47	1.37	2.05	2.33	2.74	1.64	2.74	1.1	0.68	0.68	1.1	0.41	0.27	0.14	1.64	1.78	0.68	2.05	1.78	1.1	1.37	0.96	0.82	1.37	2.05	0.96	2.47	3.42	0.82	0.41	0.96	2.47	1.64	0.96	1.92	1.23	2.05	2.19	2.88	1.78
T059	-433.778857837181	59	70.51282051282055	71.68894289185907	85.67778920148305	20	38.46153846153849	64.4	19.44	4.86	0.0	0.0	0.0	20.53	15.19	36.7	27.58	2.07	3.65	6.2	8.64	3.65	2.19	7.18	2.07	7.91	4.62	9.0	12.53	6.93	4.62	11.56	3.89	3.84615384615385	0.3461538461538461	0.2948717948717949	1.9230769230769216	0.3301282051282051	0.3108974358974359	0.2141025641025641	0.14487179487179488	7	2	0	0	0	0	0.12	0.36	1.34	0.36	0.24	0.24	0.61	3.52	0.61	0.61	0.85	1.58	1.22	0.85	0.85	1.7	1.58	1.34	0.61	0.12	0.61	1.82	0.73	3.77	0.24	1.46	0.0	0.36	1.22	4.01	0.73	1.94	0.73	0.24	0.85	0.24	0.97	0.49	0.97	1.82	0.24	2.07	1.46	4.74	2.67	1.46	3.65	4.37	0.97	1.7	2.67	1.82	1.7	2.31	2.07	5.35	0.73	3.16	0.97	1.34	1.22	5.1	2.19	2.67
T060	-406.8043742405832	0	0.0	0.0	0.0	0	0.0	53.46	13.37	1.22	0.0	0.0	0.0	20.66	16.16	38.64	24.54	2.55	3.53	6.33	8.15	3.65	2.55	7.42	1.82	7.79	5.6	11.07	10.95	6.57	3.89	10.58	3.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.61	0.61	1.09	0.73	0.36	0.12	0.73	2.67	0.97	0.61	0.73	1.22	1.09	0.49	1.09	2.31	1.46	1.7	0.36	0.0	0.61	1.34	0.97	3.4	0.24	1.7	0.12	0.61	1.09	3.16	1.22	2.19	0.36	0.12	1.09	0.24	0.61	0.24	0.97	1.7	0.73	1.82	1.46	4.13	2.07	1.34	3.04	4.13	1.58	1.58	1.82	2.31	1.46	1.94	1.94	5.1	0.49	2.31	0.97	2.43	1.94	4.98	2.92	3.16
T073	-368.48306332842424	0	0.0	0.0	0.0	0	0.0	76.58	19.15	8.84	1.47	0.0	0.0	24.01	22.68	32.84	20.47	6.34	7.23	5.01	3.39	3.39	4.87	9.88	3.69	6.78	6.64	8.55	9.44	5.46	3.1	7.96	3.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.74	1.18	1.33	2.06	0.74	0.29	0.15	1.77	1.77	1.03	1.03	3.39	2.06	1.03	0.88	2.5	1.03	0.29	1.47	0.59	1.77	0.29	1.77	1.62	2.36	1.33	1.77	2.06	2.06	1.47	2.36	0.74	0.74	0.59	1.18	1.18	0.74	0.44	1.62	1.18	0.59	0.88	0.74	1.18	1.03	2.06	1.91	3.98	2.06	2.65	1.33	3.68	1.18	1.62	2.06	2.95	1.18	1.33	1.03	1.33	2.06	3.68	2.21	1.18
T075	-363.09226932668327	71	676.923076923077	177.05735660847878	1688.0874736236335	71	676.923076923077	112.22	47.38	14.96	0.0	0.0	0.0	27.93	20.45	28.68	22.94	7.25	6.0	7.75	5.0	5.25	4.0	5.25	5.5	7.75	4.0	7.75	6.75	5.75	5.75	5.75	4.5	15.384615384615385	0.3333333333333333	0.1794871794871795	9.534127843987003	0.3008306247742868	0.2054893463344168	0.2753701697363669	0.2183098591549296	22	10	4	0	0	0	0.5	0.75	2.24	1.0	1.5	1.75	1.0	1.25	1.5	1.75	1.0	1.75	0.75	1.0	1.0	1.25	1.0	1.5	1.75	1.0	1.25	1.5	1.25	1.75	2.49	1.0	1.75	2.99	1.25	1.0	3.49	2.0	1.0	1.5	2.24	0.75	1.75	1.25	1.5	1.0	1.25	1.25	0.75	1.75	1.75	1.5	1.25	2.24	0.5	1.0	2.24	1.5	0.5	1.5	1.25	2.0	1.25	2.0	0.75	3.74	1.75	2.0	3.49	2.0
T079	-403.0902348578492	0	0.0	0.0	0.0	0	0.0	84.05	24.72	11.12	6.18	2.47	0.0	19.65	21.26	35.97	23.11	3.34	5.32	6.19	3.71	2.48	4.08	9.41	4.33	7.92	6.44	8.79	11.01	4.7	4.46	9.9	3.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.99	1.24	0.87	1.85	1.11	0.37	0.37	2.6	1.24	1.73	0.49	1.85	1.61	0.99	0.74	2.84	1.24	0.49	0.74	0.0	0.99	0.74	0.49	2.47	0.87	0.87	1.11	1.11	2.22	1.48	1.61	2.47	0.99	1.11	0.62	1.36	0.37	0.37	0.74	2.6	0.37	1.24	0.37	1.61	2.47	1.36	2.84	3.71	1.36	2.47	1.73	3.58	1.11	3.46	2.22	2.84	1.61	1.36	1.36	1.85	2.22	3.46	2.6	1.73
T084	-379.00943396226415	0	0.0	0.0	0.0	0	0.0	87.26	30.66	9.43	3.54	2.36	0.0	22.76	20.99	32.9	23.35	4.96	6.73	5.08	4.49	3.66	4.13	8.15	4.37	7.56	5.31	8.03	10.04	5.19	4.13	9.68	4.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.71	0.94	1.06	2.0	0.94	0.71	0.35	2.12	1.3	1.53	0.94	2.95	1.77	1.18	1.3	1.06	1.18	0.83	1.18	0.47	1.65	0.71	1.42	1.3	1.18	1.53	1.3	2.0	2.71	1.42	2.12	1.3	0.94	0.83	1.18	1.3	0.47	0.24	1.3	2.36	0.83	1.65	0.71	1.3	1.77	1.53	2.0	4.36	0.35	1.89	2.71	3.18	2.36	2.71	2.12	2.24	0.71	1.53	0.71	2.12	1.89	3.66	2.0	1.89
T070	-390.0117508813162	0	0.0	0.0	0.0	0	0.0	74.03	27.03	9.4	3.53	0.0	0.0	21.86	22.09	34.08	21.97	3.88	6.59	4.94	4.71	4.71	4.24	8.0	3.41	6.71	6.0	9.29	9.88	4.94	3.41	9.65	3.65	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.53	0.94	1.65	0.94	0.47	0.12	0.47	2.35	1.41	1.18	0.94	3.06	1.53	1.18	1.65	1.65	1.65	2.0	0.71	0.35	1.18	0.59	0.35	2.82	1.06	1.18	1.53	0.71	2.7	0.94	1.88	1.06	0.94	0.0	1.41	1.06	0.35	0.35	1.18	2.12	0.82	1.65	0.59	1.65	1.29	2.0	1.76	4.58	0.71	2.0	2.0	3.17	2.35	2.23	1.29	3.53	0.82	1.41	0.82	1.88	2.0	4.0	2.59	1.88
T020	-333.29621380846334	0	0.0	0.0	0.0	0	0.0	79.06	21.16	2.23	0.0	0.0	0.0	25.06	24.5	30.62	19.82	6.58	6.13	5.13	5.35	3.9	4.91	10.26	4.57	7.13	7.69	7.69	6.58	5.69	4.79	6.02	3.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0.78	1.0	1.34	2.34	0.56	0.78	0.56	2.78	1.78	1.78	0.56	1.89	2.23	0.89	1.34	3.12	0.89	1.45	1.11	0.45	1.22	1.0	1.67	1.78	2.23	1.45	1.78	1.89	1.78	1.45	2.78	0.89	1.0	0.67	1.78	1.0	1.11	0.22	1.0	1.0	1.22	1.22	1.22	1.67	1.34	1.22	1.67	2.0	2.23	1.89	2.9	3.12	1.0	1.56	0.56	2.67	1.22	1.11	1.34	1.45	3.12	1.78	2.34	1.56
T081	-399.33949801849406	0	0.0	0.0	0.0	0	0.0	58.12	14.53	3.96	1.32	0.0	0.0	23.25	21.0	32.63	23.12	6.35	4.37	6.22	3.84	2.78	5.16	8.47	3.04	6.48	5.82	5.69	13.36	5.16	4.1	11.11	2.51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.45	1.06	1.19	2.64	0.79	0.26	0.26	2.77	1.85	0.92	0.53	1.06	2.25	0.79	0.79	1.98	0.26	0.66	1.19	0.66	0.4	0.92	1.85	1.98	1.72	1.72	2.11	2.38	1.98	0.53	2.77	1.06	0.26	0.26	0.92	1.59	0.53	0.26	0.53	1.45	0.79	0.4	1.19	1.32	2.38	1.85	2.38	5.55	1.32	3.43	1.45	2.25	2.11	3.7	2.38	2.11	1.19	2.51	1.45	0.92	1.19	2.91	1.06	1.19
T085	-440.88495575221236	0	0.0	0.0	0.0	0	0.0	80.53	19.47	3.54	0.88	0.0	0.0	15.04	25.75	34.78	24.42	2.75	4.96	3.1	3.37	3.54	5.93	10.54	3.99	4.61	6.38	9.03	13.02	3.28	6.64	10.45	3.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	1.59	1.15	0.97	2.92	1.5	0.8	0.35	3.98	1.42	1.06	0.97	1.5	2.12	0.97	1.15	2.12	1.24	1.06	0.71	0.53	1.06	0.27	0.71	1.24	1.06	0.8	0.88	0.71	1.59	1.24	1.15	0.62	1.15	0.8	0.53	1.5	1.15	0.27	0.97	1.68	0.88	0.44	0.44	1.59	3.45	2.57	1.33	5.13	1.86	3.01	1.33	4.34	1.59	3.54	1.42	3.63	0.44	1.42	0.44	0.8	2.48	4.87	1.42	1.68
