names-seq	TempDenDG	SomBuLong1	SomSurfCGL1	DenLen1Tem	DenSurf1Tem	LongPlusLongBulle	SurfPlusLongBulle	Den_Reg1	Den_Reg2	Den_Reg3	Den_Reg4	Den_Reg5	Den_Reg6	PcA	PcT	PcG	PcC	PcAA	PcAT	PcAG	PcAC	PcTA	PcTT	PcTG	PcTC	PcGA	PcGT	PcGG	PcGC	PcCA	PcCT	PcCG	PcCC	diffCGMax%Bu	%CMaxBu	%GMinBu	diffCGmoy%	%CMoyBu	%GMoyBu	%AMoyBu	%TMoyBu	Nb_Reg1Bu	Nb_Reg2Bu	Nb_Reg3Bu	Nb_Reg4Bu	Nb_Reg5Bu	Nb_Reg6Bu	PcTTT	PcTTC	PcTTA	PcTTG	PcCTT	PcCTC	PcCTA	PcCTG	PcATT	PcATC	PcATA	PcATG	PcGTT	PcGTC	PcGTA	PcGTG	PcTAT	PcTAC	PcTAA	PcTAG	PcCAT	PcCAC	PcCAA	PcCAG	PcAAT	PcAAC	PcAAA	PcAAG	PcGAT	PcGAC	PcGAA	PcGAG	PcTCT	PcTCC	PcTCA	PcTCG	PcCCT	PcCCC	PcCCA	PcCCG	PcACT	PcACC	PcACA	PcACG	PcGCT	PcGCC	PcGCA	PcGCG	PcTGT	PcTGC	PcTGA	PcTGG	PcCGT	PcCGC	PcCGA	PcCGG	PcAGT	PcAGC	PcAGA	PcAGG	PcGGT	PcGGC	PcGGA	PcGGG
T103	-356.7723342939481	244	1189.7435897435894	351.5850144092218	1714.3279391118006	122	732.0512820512818	119.6	59.08	31.7	20.17	7.2	1.44	18.3	26.66	29.39	25.65	3.9	6.06	3.03	3.75	4.04	4.47	10.39	6.35	5.05	7.79	5.77	9.96	3.75	6.93	9.38	5.19	14.102564102564099	0.3076923076923077	0.16666666666666666	6.000420344682647	0.2705968894493485	0.21059268600252204	0.22414880201765447	0.2946616225304749	30	14	7	4	0	0	1.44	1.73	1.01	1.73	0.86	0.72	0.86	4.47	1.15	2.16	0.86	1.87	2.45	1.73	1.3	2.31	1.44	1.3	1.15	0.14	1.87	0.43	1.01	0.43	0.72	0.86	1.01	1.59	2.02	1.15	1.15	0.72	2.02	1.15	1.44	1.73	1.44	0.43	1.3	2.31	0.72	1.59	0.14	1.3	2.74	2.31	0.86	3.75	2.45	2.59	2.02	3.17	2.88	2.88	1.15	2.02	0.14	1.44	0.86	0.58	2.16	2.59	1.01	0.86
T082	-284.8861283643892	184	946.1538461538456	380.9523809523809	1958.9106545628272	76	761.538461538461	122.15	49.69	26.92	10.35	4.14	2.07	23.81	27.12	24.22	24.84	5.6	7.47	3.11	5.19	5.6	6.64	6.22	6.85	4.15	6.64	5.6	7.26	6.02	4.56	8.71	4.77	16.666666666666668	0.3076923076923077	0.1153846153846154	10.020242914979756	0.25775978407557354	0.15755735492577594	0.22149122807017546	0.363191632928475	18	10	7	3	2	1	1.66	2.28	1.24	2.28	0.41	1.24	1.04	1.66	2.9	2.28	1.04	1.24	2.48	0.83	2.28	1.04	1.86	1.66	1.45	0.62	2.48	1.45	1.45	0.41	1.86	1.45	2.07	1.45	1.24	0.41	1.86	0.62	0.41	2.9	2.07	1.45	1.04	0.62	1.24	2.28	1.45	1.04	0.62	1.86	1.66	0.83	1.86	2.69	0.83	2.07	1.04	2.28	3.31	2.07	1.04	2.28	0.62	1.04	0.41	1.04	1.86	2.07	1.66	0.62
T099	-305.4363376251788	363	3165.3846153846116	519.31330472103	4528.447232309888	259	2689.743589743585	124.46	60.09	25.75	12.88	5.72	1.43	25.18	28.33	22.6	23.89	5.73	8.74	3.15	4.73	5.44	5.59	7.88	7.45	4.58	6.16	4.01	6.73	6.59	5.87	6.45	4.15	24.35897435897436	0.38461538461538464	0.08974358974358974	10.385110385110384	0.25428175428175426	0.15043065043065046	0.3264528264528265	0.2688347688347688	42	21	9	6	3	1	1.72	1.29	2.29	1.43	0.43	1.57	0.29	3.29	2.72	2.58	1.86	1.57	1.86	1.86	1.0	1.29	1.86	1.14	2.15	0.29	2.15	1.43	1.57	1.43	2.72	0.86	2.29	1.0	2.0	1.29	0.86	0.43	1.86	0.86	2.0	2.58	1.0	0.86	1.86	1.0	1.0	1.14	1.57	0.86	1.86	1.86	1.0	2.0	2.0	1.86	1.86	2.0	2.0	2.15	1.14	1.0	0.43	0.72	1.0	1.0	1.57	1.86	0.57	1.14
T009	-311.02204408817636	160	487.1794871794871	320.6412825651302	976.3115975540824	46	187.17948717948718	96.19	30.06	8.02	4.01	2.0	0.0	26.85	24.65	25.05	23.45	6.43	7.83	4.22	5.82	6.22	4.62	7.83	4.82	6.02	6.22	4.62	8.03	5.42	5.02	8.23	4.42	8.974358974358974	0.3076923076923077	0.1794871794871795	4.0691192865105945	0.2670011148272018	0.22630992196209584	0.2700668896321069	0.2366220735785953	12	3	0	0	0	0	1.0	1.0	2.0	1.2	0.6	0.2	1.2	3.01	2.2	2.0	1.6	1.6	1.4	1.6	1.2	2.0	2.0	2.2	0.8	1.0	1.0	0.8	2.4	1.2	3.21	1.4	2.4	0.6	1.4	1.4	2.0	1.2	0.8	0.8	0.8	2.2	2.0	0.4	1.2	1.2	0.6	1.0	1.8	2.2	1.4	2.61	1.4	2.61	1.4	2.0	2.4	2.0	1.8	2.2	2.0	2.0	1.2	2.0	0.4	0.6	1.8	1.6	1.2	0.2
T062	-220.44088176352702	145	392.3076923076921	290.5811623246493	786.1877601356555	69	280.7692307692306	84.17	18.04	6.01	2.0	0.0	0.0	25.85	37.27	20.64	16.23	7.23	9.24	3.82	2.81	7.43	11.04	7.23	5.62	4.02	7.03	4.22	4.82	4.42	4.02	4.82	2.41	7.6923076923076925	0.2435897435897436	0.14102564102564102	4.069119286510589	0.2159048680787811	0.1752136752136752	0.21720549981419546	0.3916759568933482	19	7	3	1	0	0	5.01	2.61	4.01	1.6	0.8	0.6	0.4	2.2	4.01	1.6	1.6	2.0	3.41	0.8	1.4	1.4	2.61	0.6	3.41	0.6	1.8	0.4	1.2	1.0	2.81	1.4	2.2	1.8	1.8	0.4	1.4	0.4	1.6	1.0	1.4	1.6	0.8	0.4	0.8	0.8	0.4	0.4	1.2	0.8	1.2	1.0	1.0	1.4	2.0	1.6	1.0	2.61	2.2	0.8	1.0	0.8	1.0	1.0	1.0	0.6	1.8	1.4	0.8	0.6
T096	-306.6132264529058	206	1774.3589743589728	412.8256513026053	3555.829607933813	116	1107.6923076923063	116.23	52.1	22.04	18.04	12.02	6.01	29.26	20.84	25.05	24.85	8.43	5.22	6.63	6.43	4.22	4.02	6.43	4.62	6.43	4.42	6.02	6.83	7.63	5.42	4.62	6.02	17.94871794871795	0.35897435897435903	0.15384615384615385	9.549071618037141	0.3075817860300619	0.21209106984969053	0.2337533156498673	0.2465738284703802	28	14	11	9	6	3	1.6	1.0	1.0	1.8	1.2	1.0	1.2	1.8	1.4	1.4	0.8	1.6	1.2	1.0	1.2	1.0	1.8	1.2	1.2	0.0	0.8	2.2	2.4	2.2	1.4	2.2	2.61	3.01	1.2	0.8	3.01	1.4	1.2	1.4	1.6	0.4	2.0	1.0	2.2	1.6	0.8	3.01	1.2	1.4	1.4	1.4	2.61	1.0	0.2	1.6	2.61	2.0	1.4	0.6	0.8	1.6	1.0	2.2	1.4	2.0	1.8	2.2	1.6	1.4
T095	-296.9939879759519	177	1269.230769230768	354.70941883767534	2543.548635733002	116	1107.6923076923063	110.22	46.09	22.04	18.04	12.02	6.01	29.26	20.64	25.85	24.25	8.63	4.62	7.03	5.82	4.02	4.02	6.63	4.22	6.22	5.42	5.82	7.23	7.23	5.02	5.22	5.82	17.94871794871795	0.35897435897435903	0.15384615384615385	9.549071618037141	0.3075817860300619	0.21209106984969053	0.2337533156498673	0.2465738284703802	28	14	11	9	6	3	1.6	1.2	0.6	2.0	1.4	0.8	1.0	1.6	1.0	1.0	1.0	1.6	1.4	1.2	1.4	1.4	1.4	1.2	1.4	0.0	0.8	1.6	2.2	2.61	1.0	2.4	3.01	3.21	1.4	0.6	3.01	1.2	1.4	1.0	1.2	0.4	1.6	1.0	2.2	2.0	0.0	3.01	1.2	1.6	1.8	1.6	2.61	1.0	0.8	1.2	2.61	2.0	1.8	0.6	0.8	1.8	1.0	2.61	1.6	1.8	1.8	2.61	1.2	1.2
T093	-324.8496993987976	194	1162.8205128205134	388.77755511022036	2330.301628898825	155	1074.358974358975	134.27	62.12	24.05	12.02	2.0	0.0	26.05	21.64	25.45	26.85	6.63	6.22	4.62	5.22	3.41	3.61	7.63	6.02	7.03	4.42	5.02	8.23	5.62	6.22	7.43	6.43	12.82051282051282	0.3461538461538461	0.20512820512820512	6.931348221670805	0.31290322580645163	0.2435897435897436	0.22762613730355666	0.21588089330024807	35	19	8	4	1	0	1.0	1.4	0.8	1.4	1.0	1.2	1.0	2.81	1.0	2.0	1.2	2.0	1.4	1.2	0.4	1.4	1.8	0.8	0.6	0.2	1.6	0.6	1.8	1.6	0.8	2.4	2.81	2.4	2.0	1.4	3.21	0.4	2.0	1.6	1.6	0.4	1.8	1.0	1.4	3.21	1.2	1.4	0.8	1.8	0.8	3.41	1.8	1.6	0.6	2.4	2.81	1.8	2.0	2.2	1.0	2.0	0.4	1.2	2.0	1.0	1.4	2.2	1.2	0.8
T051	-304.0080160320641	298	1830.7692307692307	597.1943887775551	3668.8762139663936	196	1126.923076923077	134.27	80.16	44.09	28.06	18.04	14.03	24.65	23.65	23.85	27.86	5.22	9.44	2.81	5.82	4.02	3.41	8.03	7.03	6.63	4.02	4.02	8.63	7.43	5.62	8.43	5.82	12.82051282051282	0.3333333333333333	0.16666666666666666	5.749607535321823	0.28780743066457354	0.2303113553113553	0.24457090528519101	0.2373103087388801	33	20	9	6	4	3	1.2	1.4	1.6	0.4	0.4	0.8	1.6	2.81	2.0	3.61	0.6	3.21	1.0	1.2	0.2	1.4	2.2	0.4	0.8	0.4	3.01	2.0	1.6	0.8	1.0	2.61	1.0	1.0	3.01	0.8	2.0	0.6	1.6	1.6	1.6	2.0	1.0	0.6	1.8	2.81	0.8	1.8	1.4	1.8	2.0	2.2	2.61	1.8	1.2	1.8	2.2	2.4	0.8	4.41	2.2	1.0	0.6	0.6	1.0	0.6	1.0	1.8	1.2	0.6
T077	-287.5751503006012	202	1200.0	404.80961923847696	2404.809619238477	109	844.8717948717949	104.21	36.07	10.02	4.01	0.0	0.0	28.66	22.65	24.05	24.65	6.63	9.24	4.02	6.22	4.02	4.22	8.63	4.42	7.83	3.01	4.22	8.03	7.43	4.82	6.22	4.62	17.948717948717945	0.3461538461538461	0.15384615384615385	7.751117384144907	0.2798165137614679	0.2023053399200188	0.31310279934133145	0.20477534697718186	17	3	0	0	0	0	1.4	1.0	1.2	1.6	0.6	1.0	0.8	2.4	2.4	1.4	1.4	4.01	0.8	1.0	0.6	0.6	2.0	0.8	1.2	0.0	1.8	1.8	1.6	1.8	3.01	1.6	2.4	1.2	2.4	1.4	3.01	1.0	0.4	0.4	2.2	1.4	1.8	1.4	1.0	1.4	1.4	1.0	2.2	1.6	1.2	3.01	2.0	1.8	1.0	2.4	3.21	2.0	0.6	3.01	1.6	0.8	0.6	0.8	1.4	1.2	0.8	1.6	1.6	0.8
T076	-340.2805611222445	307	1742.3076923076908	615.2304609218436	3491.5985817789397	187	1323.0769230769215	134.27	66.13	30.06	18.04	10.02	6.01	25.05	22.65	24.85	27.45	5.62	7.83	3.61	5.82	3.41	4.62	7.23	6.43	7.03	5.82	3.41	8.23	6.63	3.41	10.44	6.02	12.82051282051282	0.3461538461538461	0.19230769230769232	7.075277663512961	0.2987110928287399	0.2279583161936103	0.2502399561223091	0.22309063485534075	37	21	14	9	5	3	1.0	2.2	0.8	1.4	0.6	0.6	0.4	1.8	2.61	2.0	1.0	2.2	1.2	1.6	1.2	1.8	1.2	0.8	1.0	0.2	1.8	1.2	1.8	1.8	2.2	1.4	2.2	1.2	2.2	2.4	2.0	0.4	0.8	1.4	1.2	3.01	1.0	1.0	2.81	2.0	0.6	2.2	0.6	2.4	1.0	2.2	2.0	2.81	1.0	1.8	3.21	1.0	3.01	3.41	2.0	1.6	0.6	1.4	0.8	0.8	1.2	1.2	1.0	0.2
T024	-240.4809619238477	288	1852.5641025640994	577.1543086172345	3712.553311751703	155	1379.4871794871765	122.24	54.11	30.06	12.02	2.0	0.0	28.86	27.05	20.64	23.45	7.43	7.23	5.22	6.83	4.62	6.63	7.03	7.03	7.83	5.02	3.41	4.42	6.83	6.43	5.02	4.22	20.512820512820515	0.35897435897435903	0.1282051282051282	8.89991728701406	0.2912324234904881	0.2022332506203474	0.2562448304383788	0.25028949545078577	31	12	5	2	0	0	1.6	3.01	2.2	1.0	1.6	1.4	0.6	2.2	2.2	1.4	0.6	2.81	2.2	0.6	1.0	1.0	1.8	1.0	1.2	0.6	1.2	1.8	2.0	1.8	2.0	3.21	2.0	1.6	2.2	0.8	3.61	1.2	2.4	1.2	2.0	1.0	0.8	0.8	1.8	1.4	2.2	2.0	1.0	1.6	0.6	0.8	2.0	1.0	1.4	0.8	3.21	1.6	1.2	1.4	1.2	1.0	1.6	0.8	2.0	0.8	0.8	1.2	1.4	0.0
T006	-277.9559118236473	260	1234.6153846153845	521.0420841683366	2474.17912748574	71	219.2307692307692	102.2	36.07	18.04	10.02	4.01	2.0	26.65	27.25	21.84	24.25	6.43	8.03	3.41	6.63	6.63	6.22	6.83	5.82	4.82	5.82	3.41	7.43	6.43	5.42	7.83	4.42	7.6923076923076925	0.3333333333333333	0.2435897435897436	3.087757313109424	0.2948717948717949	0.26399422174070064	0.25532683279162155	0.18580715059588296	15	7	5	4	2	1	1.6	1.8	2.61	1.4	1.2	0.8	1.2	2.2	2.61	2.0	1.4	2.0	2.0	1.2	1.4	1.0	2.0	1.6	2.2	0.8	2.4	1.6	1.8	0.4	1.6	2.61	1.8	1.2	1.8	0.6	1.4	0.8	1.2	1.4	1.8	1.4	1.4	0.0	1.4	1.6	1.4	1.4	1.6	2.0	1.4	1.6	1.6	2.61	1.8	1.4	1.8	1.4	1.6	2.2	2.0	1.6	0.6	2.0	0.4	0.4	1.4	1.4	0.6	0.4
T023	-262.124248496994	285	2203.8461538461506	571.1422845691383	4416.5253584091215	285	2203.8461538461506	106.21	44.09	22.04	6.01	2.0	0.0	27.05	28.46	21.44	23.05	6.83	7.63	3.61	6.22	4.62	7.23	7.03	6.43	5.42	5.22	4.02	6.22	7.43	5.42	6.02	3.21	17.94871794871795	0.2948717948717949	0.08974358974358974	7.732793522267205	0.2446693657219973	0.16734143049932526	0.2788573999100315	0.30913180386864597	45	22	11	3	1	0	2.4	1.4	2.0	2.4	1.6	1.4	0.6	1.6	3.21	2.0	0.4	1.8	1.0	1.6	1.4	1.2	0.8	0.8	2.61	0.4	2.0	2.0	1.8	1.6	2.81	2.0	2.81	1.0	2.0	1.4	1.4	0.6	1.8	0.6	2.2	1.8	0.8	1.0	1.0	1.2	1.2	1.0	2.4	1.6	1.6	1.4	1.8	1.4	1.2	2.0	2.61	1.2	2.0	1.6	1.4	1.0	1.2	0.6	0.4	1.4	0.8	1.8	1.0	0.6
T090	-343.06151645207433	277	1330.7692307692312	396.2804005722461	1903.8186420160675	98	789.7435897435905	115.88	50.07	20.03	4.29	1.43	0.0	24.32	24.18	26.47	25.04	5.44	6.3	6.02	4.3	5.16	5.16	7.31	4.58	6.3	5.01	5.01	9.17	5.01	5.73	7.31	5.73	12.82051282051282	0.2948717948717949	0.08974358974358974	8.058608058608057	0.2306384092098377	0.1500523286237572	0.3096546310832025	0.3096546310832025	18	8	2	0	0	0	1.86	1.57	1.29	1.86	1.86	0.72	0.57	2.58	1.43	1.43	1.86	1.57	1.43	0.86	1.43	1.14	1.43	1.0	1.72	1.0	1.14	1.14	1.29	1.29	1.14	1.14	1.86	2.0	2.58	0.86	1.14	1.57	1.29	1.14	1.14	1.0	1.72	1.29	1.14	2.72	0.72	1.43	1.29	0.72	2.0	3.0	1.29	2.43	1.0	2.58	1.72	2.0	1.86	2.15	1.43	1.43	0.86	2.15	1.72	1.29	1.29	2.0	1.43	0.86
