num-seq	names-seq	longseq	longwin	nbrBubble	TempDenDG	SomBuLong1	SomSurfCGL1	DenLen1Tem	DenSurf1Tem	LongPlusLongBulle	SurfPlusLongBulle	Den_Reg1	Den_Reg2	Den_Reg3	Den_Reg4	Den_Reg5	Den_Reg6	PcA	PcT	PcG	PcC	PcAA	PcAT	PcAG	PcAC	PcTA	PcTT	PcTG	PcTC	PcGA	PcGT	PcGG	PcGC	PcCA	PcCT	PcCG	PcCC	diffCGMax%Bu	%CMaxBu	%GMinBu	diffCGmoy%	%CMoyBu	%GMoyBu	%AMoyBu	%TMoyBu	Nb_Reg1Bu	Nb_Reg2Bu	Nb_Reg3Bu	Nb_Reg4Bu	Nb_Reg5Bu	Nb_Reg6Bu	PcTTT	PcTTC	PcTTA	PcTTG	PcCTT	PcCTC	PcCTA	PcCTG	PcATT	PcATC	PcATA	PcATG	PcGTT	PcGTC	PcGTA	PcGTG	PcTAT	PcTAC	PcTAA	PcTAG	PcCAT	PcCAC	PcCAA	PcCAG	PcAAT	PcAAC	PcAAA	PcAAG	PcGAT	PcGAC	PcGAA	PcGAG	PcTCT	PcTCC	PcTCA	PcTCG	PcCCT	PcCCC	PcCCA	PcCCG	PcACT	PcACC	PcACA	PcACG	PcGCT	PcGCC	PcGCA	PcGCG	PcTGT	PcTGC	PcTGA	PcTGG	PcCGT	PcCGC	PcCGA	PcCGG	PcAGT	PcAGC	PcAGA	PcAGG	PcGGT	PcGGC	PcGGA	PcGGG	
11	T101	507	430	4	Empty	76	297.4358974358974	149.90138067061142	586.6585748242552	59	279.48717948717945	114.4	63.12	33.53	17.75	5.92	1.97	21.3	26.43	28.21	24.06	3.56	7.11	4.15	5.14	5.73	5.14	6.72	6.32	5.93	6.13	6.92	7.51	4.74	5.53	8.7	4.55	10.256410256410255	0.32051282051282054	0.21794871794871795	4.73707083876575	0.2863972186006084	0.2390265102129509	0.26488483268144286	0.20969143850499783	12	7	5	4	3	1	2.17	1.18	1.18	1.58	1.18	0.79	0.79	2.56	1.58	2.37	1.18	1.58	1.18	1.78	2.17	0.99	2.17	1.58	0.79	0.99	1.18	0.59	0.79	2.17	0.99	1.38	1.18	0.59	2.56	1.58	1.38	0.39	1.18	0.99	1.38	2.76	1.18	0.59	0.39	2.76	0.2	1.58	1.97	1.18	2.96	1.78	0.79	1.78	0.39	1.38	1.38	3.35	1.78	2.37	1.78	2.17	1.18	0.79	0.99	1.18	2.56	2.56	1.58	1.38
12	T102	509	432	5	Empty	125	715.3846153846152	245.5795677799607	1405.470757140698	70	482.0512820512819	115.91	49.12	25.54	9.82	1.96	0.0	17.49	29.47	29.47	23.58	3.54	6.1	2.76	3.35	3.94	6.89	10.04	6.3	5.12	8.46	6.5	8.46	3.15	5.71	9.25	4.92	12.820512820512821	0.3076923076923077	0.1794871794871795	6.886446886446887	0.2774725274725275	0.20860805860805862	0.2542124542124542	0.2597069597069597	19	9	6	3	1	0	2.36	2.16	1.18	3.14	1.18	0.79	1.18	2.55	2.36	1.77	0.2	1.77	2.95	1.57	1.38	2.55	0.98	1.38	0.98	0.59	1.18	0.39	0.59	0.98	1.57	0.59	1.57	0.79	2.36	0.98	1.38	0.39	1.18	1.57	1.18	2.36	1.18	0.39	0.59	2.95	0.98	1.18	0.2	0.98	2.36	2.16	1.18	2.55	1.57	1.96	2.36	4.13	2.16	3.14	1.38	1.96	0.98	0.79	0.59	0.39	3.73	1.96	0.79	0.98
13	T103	694	617	7	Empty	244	1189.7435897435894	351.5850144092219	1714.3279391118003	122	732.0512820512818	119.6	59.08	31.7	20.17	7.2	1.44	18.3	26.66	29.39	25.65	3.9	6.06	3.03	3.75	4.04	4.47	10.39	6.35	5.05	7.79	5.77	9.96	3.75	6.93	9.38	5.19	14.102564102564102	0.3076923076923077	0.16666666666666666	6.000420344682647	0.2705968894493485	0.21059268600252204	0.22414880201765447	0.29466162253047495	30	14	7	4	0	0	1.44	1.73	1.01	1.73	0.86	0.72	0.86	4.47	1.15	2.16	0.86	1.87	2.45	1.73	1.3	2.31	1.44	1.3	1.15	0.14	1.87	0.43	1.01	0.43	0.72	0.86	1.01	1.59	2.02	1.15	1.15	0.72	2.02	1.15	1.44	1.73	1.44	0.43	1.3	2.31	0.72	1.59	0.14	1.3	2.74	2.31	0.86	3.75	2.45	2.59	2.02	3.17	2.88	2.88	1.15	2.02	0.14	1.44	0.86	0.58	2.16	2.59	1.01	0.86
14	T082	483	406	11	Empty	184	946.1538461538455	380.9523809523809	1958.9106545628272	76	761.538461538461	122.15	49.69	26.92	10.35	4.14	2.07	23.81	27.12	24.22	24.84	5.6	7.47	3.11	5.19	5.6	6.64	6.22	6.85	4.15	6.64	5.6	7.26	6.02	4.56	8.71	4.77	16.666666666666668	0.3076923076923077	0.11538461538461539	10.020242914979757	0.25775978407557354	0.15755735492577597	0.22149122807017546	0.363191632928475	18	10	7	3	2	1	1.66	2.28	1.24	2.28	0.41	1.24	1.04	1.66	2.9	2.28	1.04	1.24	2.48	0.83	2.28	1.04	1.86	1.66	1.45	0.62	2.48	1.45	1.45	0.41	1.86	1.45	2.07	1.45	1.24	0.41	1.86	0.62	0.41	2.9	2.07	1.45	1.04	0.62	1.24	2.28	1.45	1.04	0.62	1.86	1.66	0.83	1.86	2.69	0.83	2.07	1.04	2.28	3.31	2.07	1.04	2.28	0.62	1.04	0.41	1.04	1.86	2.07	1.66	0.62
15	T099	699	622	3	Empty	363	3165.3846153846116	519.31330472103	4528.447232309888	259	2689.7435897435857	124.46	60.09	25.75	12.88	5.72	1.43	25.18	28.33	22.6	23.89	5.73	8.74	3.15	4.73	5.44	5.59	7.88	7.45	4.58	6.16	4.01	6.73	6.59	5.87	6.45	4.15	24.358974358974358	0.38461538461538464	0.08974358974358974	10.385110385110382	0.25428175428175426	0.15043065043065043	0.3264528264528265	0.2688347688347688	42	21	9	6	3	1	1.72	1.29	2.29	1.43	0.43	1.57	0.29	3.29	2.72	2.58	1.86	1.57	1.86	1.86	1.0	1.29	1.86	1.14	2.15	0.29	2.15	1.43	1.57	1.43	2.72	0.86	2.29	1.0	2.0	1.29	0.86	0.43	1.86	0.86	2.0	2.58	1.0	0.86	1.86	1.0	1.0	1.14	1.57	0.86	1.86	1.86	1.0	2.0	2.0	1.86	1.86	2.0	2.0	2.15	1.14	1.0	0.43	0.72	1.0	1.0	1.57	1.86	0.57	1.14
16	T001	602	525	0	Empty	0	0	0.0	0.0	0	0	81.4	29.9	14.95	6.64	1.66	0.0	25.75	23.26	30.23	20.76	6.99	5.16	7.32	3.83	4.33	4.49	7.99	4.66	7.82	6.32	5.82	8.82	4.16	5.49	7.65	3.16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.66	1.5	1.66	1.33	1.0	1.0	0.83	2.66	1.33	1.0	0.66	2.16	1.99	1.16	1.16	1.66	1.16	1.0	1.16	1.0	0.66	0.33	1.5	1.66	1.33	1.33	2.16	3.49	1.99	1.16	3.49	1.16	1.33	0.83	0.83	1.5	0.83	0.33	0.17	2.16	1.16	0.83	0.66	1.16	1.99	1.5	2.49	2.82	1.0	1.66	2.99	2.33	1.0	2.33	1.5	2.33	1.99	2.66	1.66	1.0	2.33	1.66	1.66	1.5
17	T009	499	422	9	Empty	160	487.1794871794872	320.64128256513027	976.3115975540825	46	187.17948717948718	96.19	30.06	8.02	4.01	2.0	0.0	26.85	24.65	25.05	23.45	6.43	7.83	4.22	5.82	6.22	4.62	7.83	4.82	6.02	6.22	4.62	8.03	5.42	5.02	8.23	4.42	8.974358974358974	0.3076923076923077	0.1794871794871795	4.0691192865105945	0.2670011148272018	0.22630992196209584	0.270066889632107	0.2366220735785953	12	3	0	0	0	0	1.0	1.0	2.0	1.2	0.6	0.2	1.2	3.01	2.2	2.0	1.6	1.6	1.4	1.6	1.2	2.0	2.0	2.2	0.8	1.0	1.0	0.8	2.4	1.2	3.21	1.4	2.4	0.6	1.4	1.4	2.0	1.2	0.8	0.8	0.8	2.2	2.0	0.4	1.2	1.2	0.6	1.0	1.8	2.2	1.4	2.61	1.4	2.61	1.4	2.0	2.4	2.0	1.8	2.2	2.0	2.0	1.2	2.0	0.4	0.6	1.8	1.6	1.2	0.2
18	T062	499	422	8	Empty	145	392.3076923076921	290.5811623246493	786.1877601356555	69	280.76923076923066	84.17	18.04	6.01	2.0	0.0	0.0	25.85	37.27	20.64	16.23	7.23	9.24	3.82	2.81	7.43	11.04	7.23	5.62	4.02	7.03	4.22	4.82	4.42	4.02	4.82	2.41	7.692307692307693	0.24358974358974358	0.14102564102564102	4.069119286510589	0.2159048680787811	0.1752136752136752	0.21720549981419546	0.3916759568933482	19	7	3	1	0	0	5.01	2.61	4.01	1.6	0.8	0.6	0.4	2.2	4.01	1.6	1.6	2.0	3.41	0.8	1.4	1.4	2.61	0.6	3.41	0.6	1.8	0.4	1.2	1.0	2.81	1.4	2.2	1.8	1.8	0.4	1.4	0.4	1.6	1.0	1.4	1.6	0.8	0.4	0.8	0.8	0.4	0.4	1.2	0.8	1.2	1.0	1.0	1.4	2.0	1.6	1.0	2.61	2.2	0.8	1.0	0.8	1.0	1.0	1.0	0.6	1.8	1.4	0.8	0.6
19	T096	499	422	3	Empty	206	1774.3589743589728	412.82565130260525	3555.8296079338133	116	1107.6923076923065	116.23	52.1	22.04	18.04	12.02	6.01	29.26	20.84	25.05	24.85	8.43	5.22	6.63	6.43	4.22	4.02	6.43	4.62	6.43	4.42	6.02	6.83	7.63	5.42	4.62	6.02	17.94871794871795	0.358974358974359	0.15384615384615385	9.54907161803714	0.3075817860300619	0.21209106984969053	0.23375331564986737	0.2465738284703802	28	14	11	9	6	3	1.6	1.0	1.0	1.8	1.2	1.0	1.2	1.8	1.4	1.4	0.8	1.6	1.2	1.0	1.2	1.0	1.8	1.2	1.2	0.0	0.8	2.2	2.4	2.2	1.4	2.2	2.61	3.01	1.2	0.8	3.01	1.4	1.2	1.4	1.6	0.4	2.0	1.0	2.2	1.6	0.8	3.01	1.2	1.4	1.4	1.4	2.61	1.0	0.2	1.6	2.61	2.0	1.4	0.6	0.8	1.6	1.0	2.2	1.4	2.0	1.8	2.2	1.6	1.4
20	T095	499	422	5	Empty	177	1269.230769230768	354.70941883767534	2543.548635733002	116	1107.6923076923065	110.22	46.09	22.04	18.04	12.02	6.01	29.26	20.64	25.85	24.25	8.63	4.62	7.03	5.82	4.02	4.02	6.63	4.22	6.22	5.42	5.82	7.23	7.23	5.02	5.22	5.82	17.94871794871795	0.358974358974359	0.15384615384615385	9.54907161803714	0.3075817860300619	0.21209106984969053	0.23375331564986737	0.2465738284703802	28	14	11	9	6	3	1.6	1.2	0.6	2.0	1.4	0.8	1.0	1.6	1.0	1.0	1.0	1.6	1.4	1.2	1.4	1.4	1.4	1.2	1.4	0.0	0.8	1.6	2.2	2.61	1.0	2.4	3.01	3.21	1.4	0.6	3.01	1.2	1.4	1.0	1.2	0.4	1.6	1.0	2.2	2.0	0.0	3.01	1.2	1.6	1.8	1.6	2.61	1.0	0.8	1.2	2.61	2.0	1.8	0.6	0.8	1.8	1.0	2.61	1.6	1.8	1.8	2.61	1.2	1.2
21	T093	499	422	5	Empty	194	1162.8205128205134	388.7775551102204	2330.3016288988247	155	1074.358974358975	134.27	62.12	24.05	12.02	2.0	0.0	26.05	21.64	25.45	26.85	6.63	6.22	4.62	5.22	3.41	3.61	7.63	6.02	7.03	4.42	5.02	8.23	5.62	6.22	7.43	6.43	12.820512820512821	0.34615384615384615	0.20512820512820512	6.931348221670805	0.31290322580645163	0.24358974358974358	0.22762613730355666	0.21588089330024815	35	19	8	4	1	0	1.0	1.4	0.8	1.4	1.0	1.2	1.0	2.81	1.0	2.0	1.2	2.0	1.4	1.2	0.4	1.4	1.8	0.8	0.6	0.2	1.6	0.6	1.8	1.6	0.8	2.4	2.81	2.4	2.0	1.4	3.21	0.4	2.0	1.6	1.6	0.4	1.8	1.0	1.4	3.21	1.2	1.4	0.8	1.8	0.8	3.41	1.8	1.6	0.6	2.4	2.81	1.8	2.0	2.2	1.0	2.0	0.4	1.2	2.0	1.0	1.4	2.2	1.2	0.8
22	T061	796	719	0	Empty	0	0	0.0	0.0	0	0	79.15	21.36	7.54	3.77	0.0	0.0	18.47	22.74	34.92	23.87	2.89	5.91	3.9	4.65	3.27	4.53	9.43	3.65	7.42	6.04	7.92	11.32	3.77	4.28	11.57	4.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.76	1.38	1.26	1.51	0.75	0.25	0.38	2.89	1.63	0.75	0.25	3.27	1.63	1.26	1.38	1.51	1.51	0.88	0.63	0.25	1.01	0.38	0.63	1.76	0.5	0.88	1.01	0.88	2.89	2.51	1.01	1.01	0.5	0.38	1.13	1.63	0.75	0.25	0.5	2.76	0.38	1.76	0.5	2.01	2.64	1.88	1.63	4.77	1.26	2.64	2.14	3.27	2.01	3.64	2.64	3.14	0.88	1.38	0.88	0.63	1.76	3.52	1.63	2.14
23	T051	499	422	4	Empty	298	1830.7692307692303	597.1943887775551	3668.8762139663936	196	1126.923076923077	134.27	80.16	44.09	28.06	18.04	14.03	24.65	23.65	23.85	27.86	5.22	9.44	2.81	5.82	4.02	3.41	8.03	7.03	6.63	4.02	4.02	8.63	7.43	5.62	8.43	5.82	12.820512820512821	0.3333333333333333	0.16666666666666666	5.749607535321822	0.28780743066457354	0.23031135531135533	0.24457090528519101	0.23731030873888018	33	20	9	6	4	3	1.2	1.4	1.6	0.4	0.4	0.8	1.6	2.81	2.0	3.61	0.6	3.21	1.0	1.2	0.2	1.4	2.2	0.4	0.8	0.4	3.01	2.0	1.6	0.8	1.0	2.61	1.0	1.0	3.01	0.8	2.0	0.6	1.6	1.6	1.6	2.0	1.0	0.6	1.8	2.81	0.8	1.8	1.4	1.8	2.0	2.2	2.61	1.8	1.2	1.8	2.2	2.4	0.8	4.41	2.2	1.0	0.6	0.6	1.0	0.6	1.0	1.8	1.2	0.6
24	T025	699	622	0	Empty	0	0	0.0	0.0	0	0	78.68	34.33	18.6	10.01	5.72	1.43	26.75	17.02	33.33	22.89	5.87	5.16	5.87	8.74	3.72	2.15	7.88	3.01	7.59	6.73	9.74	6.3	8.45	2.72	6.88	4.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0.57	0.72	0.86	0.43	0.14	0.0	2.15	0.57	0.72	1.72	2.15	1.14	1.57	1.29	2.58	0.57	2.15	0.86	0.14	0.86	2.0	2.0	3.58	1.72	2.72	0.86	0.86	2.0	1.86	2.43	1.0	0.57	0.0	1.86	0.57	0.14	0.29	2.15	2.15	1.0	2.86	2.43	2.43	1.0	1.57	2.0	1.72	2.0	1.0	2.0	2.86	0.86	0.86	0.86	4.29	1.57	0.86	1.57	1.72	2.29	3.43	3.0	2.29
25	T077	499	422	5	Empty	202	1200.0	404.80961923847696	2404.8096192384774	109	844.8717948717949	104.21	36.07	10.02	4.01	0.0	0.0	28.66	22.65	24.05	24.65	6.63	9.24	4.02	6.22	4.02	4.22	8.63	4.42	7.83	3.01	4.22	8.03	7.43	4.82	6.22	4.62	17.948717948717945	0.34615384615384615	0.15384615384615385	7.751117384144907	0.2798165137614679	0.2023053399200188	0.31310279934133145	0.20477534697718186	17	3	0	0	0	0	1.4	1.0	1.2	1.6	0.6	1.0	0.8	2.4	2.4	1.4	1.4	4.01	0.8	1.0	0.6	0.6	2.0	0.8	1.2	0.0	1.8	1.8	1.6	1.8	3.01	1.6	2.4	1.2	2.4	1.4	3.01	1.0	0.4	0.4	2.2	1.4	1.8	1.4	1.0	1.4	1.4	1.0	2.2	1.6	1.2	3.01	2.0	1.8	1.0	2.4	3.21	2.0	0.6	3.01	1.6	0.8	0.6	0.8	1.4	1.2	0.8	1.6	1.6	0.8
26	T076	499	422	6	Empty	307	1742.3076923076908	615.2304609218436	3491.5985817789397	187	1323.0769230769215	134.27	66.13	30.06	18.04	10.02	6.01	25.05	22.65	24.85	27.45	5.62	7.83	3.61	5.82	3.41	4.62	7.23	6.43	7.03	5.82	3.41	8.23	6.63	3.41	10.44	6.02	12.820512820512821	0.34615384615384615	0.19230769230769232	7.075277663512961	0.2987110928287399	0.22795831619361032	0.2502399561223091	0.22309063485534075	37	21	14	9	5	3	1.0	2.2	0.8	1.4	0.6	0.6	0.4	1.8	2.61	2.0	1.0	2.2	1.2	1.6	1.2	1.8	1.2	0.8	1.0	0.2	1.8	1.2	1.8	1.8	2.2	1.4	2.2	1.2	2.2	2.4	2.0	0.4	0.8	1.4	1.2	3.01	1.0	1.0	2.81	2.0	0.6	2.2	0.6	2.4	1.0	2.2	2.0	2.81	1.0	1.8	3.21	1.0	3.01	3.41	2.0	1.6	0.6	1.4	0.8	0.8	1.2	1.2	1.0	0.2
