Rfam id	Name	Description	Category
RF03142	L2-Alphaproteobacteria	L2-Alphaproteobacteria ribosomal protein leader	leader
RF03143	S15-Halobacteria	S15-Halobacteria ribosomal protein leader	leader
RF03151	cyano-S1	Cyanobacterial ribosomal protein S1 leader	leader
RF03156	L31-Firmicutes	L31-Firmicutes ribosomal protein leader	leader
RF03157	L31-Gammaproteobacteria	L31-Gammaproteobacteria ribosomal protein leader	leader
RF03158	L31-Actinobacteria	L31-Actinobacteria ribosomal protein leader	leader
RF03161	S15-Flavobacteria	S15-Flavobacteria ribosomal protein leader	leader
RF00050	FMN	FMN riboswitch (RFN element)	riboswitch
RF00059	TPP	TPP riboswitch (THI element)	riboswitch
RF00080	yybP-ykoY	yybP-ykoY manganese riboswitch	riboswitch
RF00162	SAM	SAM riboswitch (S box leader)	riboswitch
RF00167	Purine	Purine riboswitch	riboswitch
RF00168	Lysine	Lysine riboswitch	riboswitch
RF00174	Cobalamin	Cobalamin riboswitch	riboswitch
RF00234	glmS	glmS glucosamine-6-phosphate activated ribozyme	riboswitch
RF00379	ydaO-yuaA	ydaO/yuaA leader	riboswitch
RF00380	M-box	M-box riboswitch (ykoK leader)	riboswitch
RF00442	ykkC-yxkD	Guanidine-I riboswitch	riboswitch
RF00504	Glycine	Glycine riboswitch	riboswitch
RF00521	SAM_alpha	SAM riboswitch (alpha-proteobacteria)	riboswitch
RF00522	PreQ1	PreQ1 riboswitch	riboswitch
RF00634	SAM-IV	S-adenosyl methionine (SAM) riboswitch	riboswitch
RF01051	c-di-GMP-I	Cyclic di-GMP-I riboswitch	riboswitch
RF01054	preQ1-II	preQ1-II (pre queuosine) riboswitch	riboswitch
RF01055	MOCO_RNA_motif	Moco (molybdenum cofactor) riboswitch	riboswitch
RF01056	Mg_sensor	Magnesium Sensor	riboswitch
RF01057	SAH_riboswitch	S-adenosyl-L-homocysteine riboswitch	riboswitch
RF01068	mini-ykkC	Guanidine-II riboswitch	riboswitch
RF01482	AdoCbl_riboswitch	AdoCbl riboswitch	riboswitch
RF01510	MFR	M. florum riboswitch	riboswitch
RF01689	AdoCbl-variant	AdoCbl variant RNA	riboswitch
RF01704	Downstream-peptide	Downstream peptide RNA	riboswitch
RF01725	SAM-I-IV-variant	SAM-I/IV variant riboswitch	riboswitch
RF01727	SAM-SAH	SAM/SAH riboswitch	riboswitch
RF01734	Fluoride	Fluoride riboswitch	riboswitch
RF01739	glnA	Glutamine riboswitch	riboswitch
RF01750	ZMP-ZTP	ZMP/ZTP riboswitch	riboswitch
RF01767	SMK_box_riboswitch	SMK box translational riboswitch (SAM-III)	riboswitch
RF01786	c-di-GMP-II	Cyclic di-GMP-II riboswitch	riboswitch
RF01826	SAM_V	SAM-V riboswitch	riboswitch
RF01831	THF	THF riboswitch	riboswitch
RF02680	PreQ1-III	PreQ1-III riboswitch	riboswitch
RF02683	NiCo	NiCo riboswitch	riboswitch
RF02885	SAM_VI	SAM-VI riboswitch	riboswitch
RF02912	AAC_AAD_leader	putative aminoglycoside riboswitch / attI site	riboswitch
RF03057	nhaA-I	nhaA-I RNA	riboswitch
RF03058	sul1	sul1 RNA	riboswitch
RF03071	DUF1646	DUF1646 RNA	riboswitch
RF03072	raiA	raiA RNA	riboswitch
RF03164	NiCo-AnGGAG	NiCo-AnGGAG riboswitch	riboswitch
RF03165	2dG-II	2dG-II purine riboswitch	riboswitch
RF03166	glycine-GGAnGA	glycine-GGAnGA riboswitch	riboswitch
RF03167	c-di-GMP-I-GGC	c-di-GMP-I-GGC riboswitch	riboswitch
RF03168	c-di-GMP-I-UAU	c-di-GMP-I-UAU riboswitch	riboswitch
RF03169	c-di-GMP-II-GAG	c-di-GMP-II-GAG riboswitch	riboswitch
RF03170	c-di-GMP-II-GCG	c-di-GMP-II-GCG riboswitch	riboswitch
RF00013	6S	6S / SsrS RNA	sRNA
RF00014	DsrA	DsrA RNA	sRNA
RF00018	CsrB	CsrB/RsmB RNA family	sRNA
RF00021	Spot_42	Spot 42 RNA	sRNA
RF00022	GcvB	GcvB RNA	sRNA
RF00033	MicF	MicF RNA	sRNA
RF00034	RprA	RprA RNA	sRNA
RF00035	OxyS	OxyS RNA	sRNA
RF00039	DicF	DicF RNA	sRNA
RF00057	RyhB	RyhB RNA	sRNA
RF00077	SraB	SraB RNA	sRNA
RF00078	MicA	MicA sRNA	sRNA
RF00079	OmrA-B	OmrA-B family	sRNA
RF00081	ArcZ	ArcZ RNA	sRNA
RF00082	SraG	SraG RNA	sRNA
RF00083	GlmZ_SraJ	GlmZ RNA activator of glmS mRNA	sRNA
RF00084	CsrC	CsrC RNA family	sRNA
RF00101	SraC_RyeA	SraC/RyeA RNA	sRNA
RF00106	RNAI	RNAI	sRNA
RF00107	FinP	FinP	sRNA
RF00110	RybB	RybB RNA	sRNA
RF00111	SdsR_RyeB	SdsR_RyeB RNA	sRNA
RF00112	CyaR_RyeE	CyaR/Rye RNA	sRNA
RF00113	SIB_RNA	Short Intergenic Abundant RNA	sRNA
RF00115	McaS	McaS/IsrA RNA	sRNA
RF00116	C0465	C0465 RNA	sRNA
RF00117	C0719	C0719 RNA	sRNA
RF00118	rydB	rydB RNA	sRNA
RF00119	C0299	C0299 RNA	sRNA
RF00121	MicC	MicC RNA	sRNA
RF00122	GadY	GadY	sRNA
RF00124	IS102	IS102 RNA	sRNA
RF00125	IS128	IS128 RNA	sRNA
RF00126	ryfA	ryfA RNA	sRNA
RF00127	t44	t44 RNA	sRNA
RF00128	GlmY_tke1	Glm Y RNA activator of glmS mRNA	sRNA
RF00166	PrrB_RsmZ	PrrB/RsmZ RNA family	sRNA
RF00195	RsmY	RsmY RNA family	sRNA
RF00236	ctRNA_pGA1	ctRNA	sRNA
RF00238	ctRNA_pND324	ctRNA	sRNA
RF00240	RNA-OUT	RNA-OUT	sRNA
RF00242	ctRNA_pT181	ctRNA	sRNA
RF00262	sar	sar RNA	sRNA
RF00388	Anti-Q_RNA	Anti-Q RNA	sRNA
RF00489	ctRNA_p42d	ctRNA	sRNA
RF00505	RydC	RydC RNA	sRNA
RF00534	SgrS	SgrS RNA	sRNA
RF00615	LhrA	Listeria Hfq binding LhrA	sRNA
RF00616	LhrC	Listeria LhrC	sRNA
RF00623	P1	Pseudomonas sRNA P1	sRNA
RF00624	P9	Pseudomonas sRNA P9	sRNA
RF00625	P11	Pseudomonas sRNA P11	sRNA
RF00627	P15	Pseudomonas sRNA P15	sRNA
RF00628	RgsA	RgsA sRNA	sRNA
RF00629	P24	Pseudomonas sRNA P24	sRNA
RF00630	P26	Pseudomonas sRNA P26	sRNA
RF01116	Yfr1	Cyanobacterial functional RNA 1	sRNA
RF01385	isrA	isrA Hfq binding RNA	sRNA
RF01386	isrB	isrB Hfq binding RNA	sRNA
RF01387	isrC	isrC Hfq binding RNA	sRNA
RF01388	isrD	isrD Hfq binding RNA	sRNA
RF01389	isrF	isrF Hfq binding RNA	sRNA
RF01390	isrG	isrG Hfq binding RNA	sRNA
RF01391	isrH	isrH Hfq binding RNA	sRNA
RF01392	isrI	isrI Hfq binding RNA	sRNA
RF01393	isrJ	isrJ Hfq binding RNA	sRNA
RF01394	isrK	isrK Hfq binding RNA	sRNA
RF01395	isrL	isrL Hfq binding RNA	sRNA
RF01396	isrN	isrN Hfq binding RNA	sRNA
RF01397	isrO	isrO Hfq binding RNA	sRNA
RF01398	isrP	isrP Hfq binding RNA	sRNA
RF01399	isrQ	isrQ Hfq binding RNA	sRNA
RF01400	istR	istR Hfq binding RNA	sRNA
RF01401	rseX	rseX Hfq binding RNA	sRNA
RF01402	STnc150	STnc150 Hfq binding RNA	sRNA
RF01403	STnc290	STnc290 Hfq binding RNA	sRNA
RF01404	PinT	PinT (STnc440) Hfq binding RNA	sRNA
RF01405	STnc490	STnc490 Hfq binding RNA	sRNA
RF01406	STnc500	STnc500 Hfq binding RNA	sRNA
RF01407	STnc560	STnc560 Hfq binding RNA	sRNA
RF01408	sraL	sraL Hfq binding RNA	sRNA
RF01409	STnc250	STnc250 Hfq binding RNA	sRNA
RF01410	BsrC	BsrC	sRNA
RF01411	BsrF	BsrF	sRNA
RF01412	BsrG	BsrG	sRNA
RF01416	NrrF	NrrF RNA	sRNA
RF01419	IsrR	Antisense RNA which regulates isiA expression	sRNA
RF01456	VrrA	Vibrio regulatory RNA of OmpA	sRNA
RF01457	rli22	Listeria sRNA rli22	sRNA
RF01458	rli23	Listeria snRNA rli23	sRNA
RF01459	rliE	Listeria sRNA rliE	sRNA
RF01460	rliH	Listeria sRNA rliH	sRNA
RF01461	rli24	Listeria sRNA rli22	sRNA
RF01462	rli26	Listeria sRNA rli26	sRNA
RF01463	rli27	Listeria sRNA rli27	sRNA
RF01464	rliA	Listeria sRNA rliA	sRNA
RF01465	rli31	Listeria sRNA rli31	sRNA
RF01466	rli34	Listeria sRNA rli34	sRNA
RF01467	rli36	Listeria sRNA rli36	sRNA
RF01468	rli32	Listeria sRNA rli32	sRNA
RF01469	rli33	Listeria sRNA rli33	sRNA
RF01470	rli38	Listeria sRNA rli38	sRNA
RF01471	rliB	Listeria sRNA rliB	sRNA
RF01472	rli40	Listeria sRNA rli40	sRNA
RF01473	rli41	Listeria sRNA rli41	sRNA
RF01474	rli42	Listeia sRNA rli42	sRNA
RF01475	rli45	Listeria snRNA rli45	sRNA
RF01476	rliF	Listeria sRNA rliF	sRNA
RF01477	rli43	Listeria sRNA rli43	sRNA
RF01478	rli47	Listeria sRNA rli47	sRNA
RF01479	rli48	Listeria sRNA rli48	sRNA
RF01487	rliI	Listeria sRNA rliI	sRNA
RF01488	rli49	Listeria sRNA rli49	sRNA
RF01489	sbrA	Listeria sRNA sbrA	sRNA
RF01492	rli28	Listeria sRNA rli28	sRNA
RF01493	rli37	Listeria sRNA rli37	sRNA
RF01494	rliD	Listeria sRNA rliD	sRNA
RF01496	Afu_182	A. fumigatus sRNA Afu_182	sRNA
RF01503	Afu_203	A. fumigatus sRNA Afu_203	sRNA
RF01504	Afu_254	A. fumigatus sRNA Afu_254	sRNA
RF01512	Afu_309	A. fumigatus sRNA Afu_309	sRNA
RF01519	CC0196	Caulobacter sRNA CC0196	sRNA
RF01520	CC0734	caulobacter sRNA CC0734	sRNA
RF01521	CC1840	caulobacter sRNA CC1840	sRNA
RF01527	CrfA	Caulobacter sRNA CrfA	sRNA
RF01528	CC3513	caulobacter sRNA CC3513	sRNA
RF01529	CC3552	Cauldobacter sRNA CC3552	sRNA
RF01530	CC3664	Caulobacter sRNA CC3664	sRNA
RF01578	RUF1	Plasmodium RNA of unkown function RUF1	sRNA
RF01579	RUF2	Plasmodium RNA of unknown function RUF2	sRNA
RF01580	RUF3	Plasmodium RNA of unkown function RU6-F3	sRNA
RF01581	RUF6-5	Plasmodium RNA of unknown function RUF6-5	sRNA
RF01582	RUF4	RNA of unknown function RUF4	sRNA
RF01619	ceN115	C. elegans sRNA ceN115	sRNA
RF01623	ceN23-1	Caenorhabditis sRNA ceN23-1	sRNA
RF01643	ceN56	Caenorhabditis sRNA ceN56	sRNA
RF01656	ceN72-3_ceN74-2	Nematode sRNA ceN72-3_ceN74-2	sRNA
RF01663	ceN93	Caenorhabditis sRNA ceN93	sRNA
RF01665	P13	Pseudomonas sRNA P13	sRNA
RF01668	P10	Pseudomonas sRNA P10	sRNA
RF01669	P14	Pseudomonas sRNA P14	sRNA
RF01670	P17	Pseudomonas sRNA P17	sRNA
RF01671	P18	Pseudomonas sRNA P18	sRNA
RF01672	P2	Psudomonas sRNA P2	sRNA
RF01673	PhrS	PhrS	sRNA
RF01674	P27	Pseudomonas sRNA P27	sRNA
RF01675	CrcZ	Pseudomonas sRNA CrcZ	sRNA
RF01676	P31	Pseudomonas sRNA P31	sRNA
RF01677	P35	Pseudomonas sRNA P35	sRNA
RF01678	P37	Pseudomonas sRNA P37	sRNA
RF01679	P36	Pseudomonas sRNA P36	sRNA
RF01680	P5	Pseudomonas sRNA P5	sRNA
RF01681	P4	Pseudomonas sRNA P4	sRNA
RF01682	P8	Pseudomonas sRNA P8	sRNA
RF01683	P6	Pseudomonas sRNA P6	sRNA
RF01685	6S-Flavo	6S-Flavo RNA	sRNA
RF01686	Acido-1	Acido-1 RNA	sRNA
RF01687	Acido-Lenti-1	Acido-Lenti-1 RNA	sRNA
RF01690	Bacillaceae-1	Bacillaceae-1 RNA	sRNA
RF01691	Bacillus-plasmid	Bacillus-plasmid RNA	sRNA
RF01693	Bacteroidales-1	Bacteroidales-1 6S-Bacteroidales RNA suggested	sRNA
RF01694	Bacteroides-1	Bacteroides-1 RNA	sRNA
RF01695	C4	C4 antisense RNA	sRNA
RF01696	Chlorobi-1	Chlorobi-1 RNA	sRNA
RF01698	Chloroflexi-1	Chloroflexi-1 RNA	sRNA
RF01699	Clostridiales-1	Clostridiales-1 RNA	sRNA
RF01700	Collinsella-1	Collinsella-1 RNA	sRNA
RF01701	Cyano-1	Cyano-1 RNA	sRNA
RF01702	Cyano-2	Cyano-2 RNA	sRNA
RF01703	Dictyoglomi-1	Dictyoglomi-1 RNA	sRNA
RF01705	Flavo-1	Flavo-1 RNA	sRNA
RF01706	Gut-1	Gut-1 RNA	sRNA
RF01710	Lacto-usp	Lacto-usp RNA	sRNA
RF01712	Methylobacterium-1	Methylobacterium-1 RNA	sRNA
RF01714	Ocean-V	Ocean-V RNA	sRNA
RF01718	Polynucleobacter-1	Polynucleobacter-1 RNA	sRNA
RF01719	Pseudomon-1	Pseudomon-1/ErsA RNA	sRNA
RF01722	Pyrobac-1	Pyrobac-1 RNA	sRNA
RF01723	Rhizobiales-2	Rhizobiales-2 RNA	sRNA
RF01728	STAXI	STAXI RNA	sRNA
RF01732	asd	MarS sRNA	sRNA
RF01742	lactis-plasmid	lactis-plasmid RNA	sRNA
RF01757	sbcD	sbcD RNA	sRNA
RF01775	RsaOG	RNA S.aureus Orsay G	sRNA
RF01776	RatA	RNA anti-toxin A	sRNA
RF01779	AS1726	AS1726 sRNA	sRNA
RF01780	AS1890	AS1890 sRNA	sRNA
RF01781	ASdes	ASdes TB sRNA	sRNA
RF01782	ASpks	ASpks TB sRNA	sRNA
RF01783	b55	Mycobacterium B11	sRNA
RF01784	bablM	bablM sRNA	sRNA
RF01791	F6	F6 TB sRNA	sRNA
RF01793	ffh	ffh sRNA	sRNA
RF01794	sok	sok antitoxin (CssrC)	sRNA
RF01796	frnS	Fumarate/nitrate reductase regulator sRNA	sRNA
RF01797	fstAT	Fst antitoxin sRNA	sRNA
RF01808	MicX	MicX Vibrio cholerae sRNA	sRNA
RF01809	symR	SymR antitoxin	sRNA
RF01810	pntA	pntA sRNA	sRNA
RF01811	PtaRNA1	Plasmid transferred anti-sense RNA	sRNA
RF01812	Pxr	Pxr regulatory sRNA	sRNA
RF01813	rdlD	rdlD antitoxin	sRNA
RF01814	rhtB	rhtB sRNA	sRNA
RF01815	rpsB	rpsB sRNA	sRNA
RF01816	RsaA	RNA Staph. aureus A	sRNA
RF01817	RsaB	RNA Staph. aureus A	sRNA
RF01818	RsaC	RNA Staph. aureus C	sRNA
RF01819	RsaD	RNA Staph. aureus D	sRNA
RF01820	RsaE	RNA Staph. aureus E (RoxS)	sRNA
RF01821	RsaH	RNA Staph. aureus H	sRNA
RF01822	RsaJ	RNA Staph. aureus A	sRNA
RF01823	rspL	rpsL sRNA	sRNA
RF01827	SAR11_0636	SAR11_0636 sRNA	sRNA
RF01828	SprD	Small pathogenicity island RNA D	sRNA
RF01853	mtDNA_ssA	Mitochondrial DNA control region secondary structure A	sRNA
RF01858	RsaF	RNA Staph. aureus F	sRNA
RF01867	CC2171	caulobacter sRNA CC2171	sRNA
RF02029	sraA	sraA	sRNA
RF02030	tp2	tp2	sRNA
RF02031	tpke11	tpke11	sRNA
RF02048	STnc30	Salmonella enterica conserved region STnc30	sRNA
RF02049	STnc460	Salmonella enterica sRNA STnc460	sRNA
RF02050	STnc470	Salmonella enterica sRNA STnc470	sRNA
RF02051	STnc450	Enterobacterial sRNA STnc450	sRNA
RF02052	STnc630	Enterobacterial sRNA STnc630	sRNA
RF02053	STnc430	Enterobacterial sRNA STnc430	sRNA
RF02054	STnc420	Salmonella enterica sRNA STnc420	sRNA
RF02055	STnc380	Enterobacterial sRNA STnc380	sRNA
RF02056	STnc390	Salmonella sRNA STnc390	sRNA
RF02057	STnc40	Salmonella enterica sRNA STnc40	sRNA
RF02058	STnc400	Gammaproteobacterial sRNA STnc400	sRNA
RF02059	STnc50	Salmonella enterica sRNA STnc40	sRNA
RF02060	STnc410	Enterobacterial sRNA STnc410	sRNA
RF02062	STnc361	Salmonella enterica sRNA STnc361	sRNA
RF02063	STnc350	Salmonella enterica sRNA STnc350	sRNA
RF02064	STnc370	Enterobacterial sRNA STnc370	sRNA
RF02065	STnc340	Enterobacterial sRNA STnc340	sRNA
RF02066	STnc320	Salmonella enterica sRNA STnc320	sRNA
RF02067	STnc310	Salmonella enterica sRNA STnc310	sRNA
RF02068	STnc480	Enterobacterial sRNA STnc480	sRNA
RF02069	STnc70	Enterobacterial sRNA STnc70	sRNA
RF02070	STnc300	Salmonella enterica sRNA STnc300	sRNA
RF02071	STnc280	Salmonella enterica sRNA STnc280	sRNA
RF02072	STnc590	Salmonella enterica sRNA STnc590	sRNA
RF02073	STnc260	Salmonella enterica sRNA STnc260	sRNA
RF02074	STnc240	Enterobacterial sRNA STnc240	sRNA
RF02075	STnc230	Enterobacterial sRNA STnc230	sRNA
RF02076	STnc100	Gammaproteobacterial sRNA STnc100	sRNA
RF02077	STnc220	Salmonella enterica sRNA STnc220	sRNA
RF02078	STnc210	Salmonella enterica sRNA STnc210	sRNA
RF02079	STnc180	Enterobacterial sRNA STnc180	sRNA
RF02080	STnc170	Salmonella enterica sRNA STnc170	sRNA
RF02081	STnc550	Enterobacterial sRNA STnc550	sRNA
RF02082	STnc540	Enterobacterial sRNA STnc540	sRNA
RF02083	OrzO-P	OrzO-P RNA antitoxin family	sRNA
RF02084	STnc130	Enterobacteria sRNA STnc130	sRNA
RF02088	STnc510	Enterobacterial sRNA STnc510	sRNA
RF02099	rivX	rivX sRNA	sRNA
RF02194	HPnc0260	Bacterial antisense RNA HPnc0260	sRNA
RF02221	sRNA-Xcc1	sRNA-Xcc1	sRNA
RF02222	sX2	Xanthomonas sRNA sX2	sRNA
RF02223	sX4	Proteobacterial sRNA sX4	sRNA
RF02224	sX5	Xanthomonadaceae sRNA sX5	sRNA
RF02225	sX6	Proteobacterial sRNA sX6	sRNA
RF02226	sX7	Xanthomonas sRNA sX7	sRNA
RF02227	sX8	Proteobacterial sRNA sX8	sRNA
RF02228	sX9	Xanthomonas sRNA sX9	sRNA
RF02230	sX11	Proteobacterial sRNA sX11	sRNA
RF02231	sX12	Xanthomonas sRNA sX12	sRNA
RF02232	sX13	Xanthomonadaceae sRNA sX13	sRNA
RF02233	sX14	Xanthomonas sRNA sX14/Xoo3	sRNA
RF02234	sX15	Xanthomonadaceae sRNA sX15	sRNA
RF02235	asX1	Xanthomonadaceae sRNA asX1	sRNA
RF02236	asX2	Xanthomonas sRNA asX2	sRNA
RF02237	asX3	Xanthomonas sRNA asX3	sRNA
RF02238	asX4	Xanthomonas sRNA asX4/Xoo4	sRNA
RF02239	asX6	Xanthomonas sRNA asX6	sRNA
RF02240	Xoo1	Xanthomonadaceae sRNA Xoo1	sRNA
RF02241	Xoo2	Xanthomonadaceae sRNA Xoo2	sRNA
RF02242	Xoo5	Xanthomonadaceae sRNA Xoo5	sRNA
RF02243	Xoo8	Proteobacterial sRNA Xoo8	sRNA
RF02268	MtlS	MtlS RNA	sRNA
RF02269	HPnc0580	Heliobacter pylori small RNA HPnc0580	sRNA
RF02270	nse_sRNA	Neisseria sigma-E sRNA	sRNA
RF02278	Betaproteobacteria_toxic_sRNA	Betaproteobacteria toxic small RNA	sRNA
RF02341	ncrMT1302	Mycobacterium sRNA ncrMT1302	sRNA
RF02342	ar7	Alphaproteobacterial sRNA ar7	sRNA
RF02343	ar9	Alphaproteobacterial sRNA ar9	sRNA
RF02344	ar14	Alphaproteobacterial ar14	sRNA
RF02345	ar15	Alphaproteobacterial ar15	sRNA
RF02346	ar35	Alphaproteobacterial sRNA ar35	sRNA
RF02347	ar45	Alphaproteobacterial sRNA ar45	sRNA
RF02349	psRNA2	Proteobacterial sRNA psRNA2	sRNA
RF02350	psRNA6	Nitrosomonas sRNA psRNA6	sRNA
RF02351	psRNA14	Proteobacteria sRNA psRNA14	sRNA
RF02353	BjrC68	Bradyrhizobiaceae sRNA BjrC68	sRNA
RF02354	BjrC80	Bradyrhizobiaceae sRNA BjrC80	sRNA
RF02355	BjrC174	Bradyrhizobiaceae sRNA BjrC174	sRNA
RF02356	BjrC1505	Alphaproteobacterial sRNA BjrC1505	sRNA
RF02360	Yfr8	Cyanobacterial functional RNA 8/9	sRNA
RF02362	Yfr10	Cyanobacterial functional RNA 10	sRNA
RF02363	Yfr11	Cyanobacterial functional RNA 11	sRNA
RF02364	Yfr13	Cyanobacterial functional RNA 13	sRNA
RF02365	Yfr17	Cyanobacterial functional RNA 17	sRNA
RF02366	Yfr19	Cyanobacterial functional RNA 19	sRNA
RF02367	Yfr20	Cyanobacterial functional RNA 20	sRNA
RF02368	Yfr21	Cyanobacterial functional RNA 21	sRNA
RF02369	h2cR	h2cR sRNA	sRNA
RF02374	YenS	Yersinia YenS sRNA	sRNA
RF02375	Aar	Aar sRNA	sRNA
RF02376	antisense_SR1	SR1 sRNA	sRNA
RF02377	SurA	SurA sRNA	sRNA
RF02378	SurC	SurC sRNA	sRNA
RF02379	csRNA	Cia-dependent small RNA csRNA1	sRNA
RF02384	FasX	FasX small RNA	sRNA
RF02385	sau-13	Staphylococcus sRNA sau-13	sRNA
RF02386	sau-19	Staphylococcus sRNA sau-19	sRNA
RF02387	sau-27	Staphylococcus sRNA sau-27	sRNA
RF02388	sau-30	Staphylococcus sRNA sau-30	sRNA
RF02389	sau-31	Staphylococcus sRNA sau-31	sRNA
RF02390	sau-41	Staphylococcus sRNA sau-41	sRNA
RF02392	sau-53	Staphylococcus sRNA sau-53	sRNA
RF02393	sau-59	Staphylococcus sRNA sau-59	sRNA
RF02394	sau-63	Staphylococcus sRNA sau-63	sRNA
RF02395	sau-66	Staphylococcus sRNA sau-66	sRNA
RF02396	sau-5949	Staphylococcus sRNA sau-5949	sRNA
RF02397	sau-5971	Staphylococcus sRNA sau-5971	sRNA
RF02398	sau-6072	Staphylococcus sRNA sau-6072	sRNA
RF02399	NsiR1	Nitrogen stress-induced RNA 1	sRNA
RF02404	P33	Pseudomonas sRNA P33	sRNA
RF02405	P34	Pseudomonas sRNA P34	sRNA
RF02414	rli60	Listeria sRNA rli60	sRNA
RF02415	rliG	Listeria sRNA rliG	sRNA
RF02417	VR-RNA	VR-RNA	sRNA
RF02418	Spd-sr07	Streptococcus sRNA Spd-sr07	sRNA
RF02419	Spd-sr37	Streptococcus sRNA Spd-sr37	sRNA
RF02420	Bp1_162	Burkholderia sRNA Bp1_Cand612_SIPHT	sRNA
RF02421	Bp1_684	Burkholderia sRNA Bp1_Cand684_SIPHT	sRNA
RF02422	Bp1_738	Burkholderia sRNA Bp1_Cand738_SIPHT	sRNA
RF02423	Bp1_781	Burkholderia sRNA Bp1_Cand871_SIPHT	sRNA
RF02424	Bp2_287	Burkholderia sRNA Bp2_Cand287_SIPHT	sRNA
RF02425	SpF01_sRNA	Streptococcus sRNA SpF01	sRNA
RF02426	SpF03_sRNA	Streptococcus sRNA SpF03	sRNA
RF02427	SpF10_sRNA	Streptococcus sRNA SpF10	sRNA
RF02428	SpF11_sRNA	Streptococcus sRNA SpF11	sRNA
RF02429	SpF14_sRNA	Streptococcus sRNA SpF14	sRNA
RF02430	SpF19_sRNA	Streptococcus sRNA SpF19	sRNA
RF02431	SpF22_sRNA	Streptococcus sRNA SpF22	sRNA
RF02432	SpF25_sRNA	Streptococcus sRNA SpF25	sRNA
RF02433	SpF36_sRNA	Streptococcus sRNA SpF36	sRNA
RF02434	SpF39_sRNA	Streptococcus sRNA SpF39	sRNA
RF02435	SpF41_sRNA	Streptococcus sRNA SpF41	sRNA
RF02436	SpF43_sRNA	Streptococcus sRNA SpF43	sRNA
RF02437	SpF44_sRNA	Streptococcus sRNA SpF44	sRNA
RF02438	SpF51_sRNA	Streptococcus sRNA SpF51	sRNA
RF02439	SpF56_sRNA	Streptococcus sRNA SpF56	sRNA
RF02440	SpF59_sRNA	Streptococcus sRNA SpF59 (ldcC RNA)	sRNA
RF02441	SpF61_sRNA	Streptococcus sRNA SpF61	sRNA
RF02442	SpF66_sRNA	Streptococcus sRNA SpF66	sRNA
RF02443	SpR08_sRNA	Streptococcus sRNA SpR08	sRNA
RF02444	SpR10_sRNA	Streptococcus sRNA SpR10	sRNA
RF02445	SpR14_sRNA	Streptococcus sRNA SpR14	sRNA
