Cluster id	Gene name	Pfam id
0047	diacetylchitobiose ABC transporter ATP-binding protein MsiK	PF00005.30-ABC_tran,PF02463.22-SMC_N,PF03193.19-RsgA_GTPase,PF03215.18-Rad17,PF08402.13-TOBE_2,PF13191.9-AAA_16,PF13304.9-AAA_21,PF13401.9-AAA_22,PF13521.9-AAA_28,PF13555.9-AAA_29,PF13604.9-AAA_30,PF13671.9-AAA_33,PF17912.4-OB_MalK,PF13481.9-AAA_25,PF17850.4-CysA_C_terminal,PF00004.32-AAA,PF00910.25-RNA_helicase,PF03459.20-TOBE,PF13476.9-AAA_23
0048	L-alanine dehydrogenase (NAD-dependent)	PF00070.30-Pyr_redox,PF01262.24-AlaDh_PNT_C,PF02737.21-3HCDH_N,PF02826.22-2-Hacid_dh_C,PF03446.18-NAD_binding_2,PF05222.18-AlaDh_PNT_N,PF07992.17-Pyr_redox_2,PF01134.25-GIDA,PF01266.27-DAO,PF01488.23-Shikimate_DH,PF02882.22-THF_DHG_CYH_C,PF13450.9-NAD_binding_8
0049	redox-regulated ATPase YchF	PF01926.26-MMR_HSR1,PF02421.21-FeoB_N,PF06071.16-YchF-GTPase_C,PF00350.26-Dynamin_N,PF02824.24-TGS,PF03308.19-MeaB,PF13238.9-AAA_18
0050	peptide-methionine (R)-S-oxide reductase MsrB	PF01641.21-SelR,PF03226.17-Yippee-Mis18,PF01155.22-HypA,PF01907.22-Ribosomal_L37e,PF02150.19-RNA_POL_M_15KD,PF04828.17-GFA,PF05077.15-DUF678,PF06221.16-zf-C2HC5,PF08271.15-TF_Zn_Ribbon,PF09814.12-HECT_2,PF10005.12-zinc-ribbon_6,PF12760.10-Zn_Tnp_IS1595,PF12773.10-DZR,PF13240.9-zinc_ribbon_2,PF13248.9-zf-ribbon_3,PF17981.4-ADD_ATRX,PF18073.4-Rubredoxin_2,PF19148.3-DUF5830
0051	aspartate-semialdehyde dehydrogenase	PF01118.27-Semialdhyde_dh,PF02774.21-Semialdhyde_dhC,PF02800.23-Gp_dh_C
0052	DNA-directed RNA polymerase subunit alpha	PF01000.29-RNA_pol_A_bac,PF01193.27-RNA_pol_L,PF03118.18-RNA_pol_A_CTD,PF14520.9-HHH_5
0053	rod shape-determining protein MreB	PF00012.23-HSP70,PF00022.22-Actin,PF02541.19-Ppx-GppA,PF06277.14-EutA,PF06723.16-MreB_Mbl,PF08841.13-DDR,PF11104.11-PilM_2,PF14450.9-FtsA,PF06406.14-StbA
0054	ketol-acid reductoisomerase	PF00670.24-AdoHcyase_NAD,PF01450.22-IlvC,PF02629.22-CoA_binding,PF02826.22-2-Hacid_dh_C,PF03446.18-NAD_binding_2,PF03807.20-F420_oxidored,PF07991.15-IlvN,PF01210.26-NAD_Gly3P_dh_N,PF02153.20-PDH_N,PF02558.19-ApbA,PF10727.12-Rossmann-like
0055	glyceraldehyde-3-phosphate dehydrogenase	PF00044.27-Gp_dh_N,PF02800.23-Gp_dh_C,PF02826.22-2-Hacid_dh_C,PF13241.9-NAD_binding_7
0056	ribose-phosphate diphosphokinase	PF00156.30-Pribosyltran,PF13793.9-Pribosyltran_N,PF14572.9-Pribosyl_synth,PF14681.9-UPRTase,PF15609.9-PRTase_2,PF15798.8-PRAS
0057	30S ribosomal protein S2	PF00318.23-Ribosomal_S2
0058	UTP--glucose-1-phosphate uridylyltransferase GalU	PF00483.26-NTP_transferase,PF12804.10-NTP_transf_3,PF01128.22-IspD,PF02348.22-CTP_transf_3
0059	succinyl-CoA synthetase (alpha subunit)	PF00549.22-Ligase_CoA,PF02629.22-CoA_binding,PF13607.9-Succ_CoA_lig,PF13380.9-CoA_binding_2
0060	MetQ/NlpA family ABC transporter substrate-binding protein	PF03180.17-Lipoprotein_9,PF04069.15-OpuAC,PF09084.14-NMT1,PF13627.9-LPAM_2
0061	two-component system response regulator	PF00072.27-Response_reg,PF00486.31-Trans_reg_C
0062	triose-phosphate isomerase	PF00121.21-TIM
0063	phosphoglyceromutase	PF00300.25-His_Phos_1,PF19921.2-bpX5
0064	YebC/PmpR family DNA-binding transcriptional regulator	PF01709.23-Transcrip_reg
0065	30S ribosomal protein S3	PF00189.23-Ribosomal_S3_C,PF05316.15-VAR1,PF07650.20-KH_2,PF14955.9-MRP-S24,PF13083.9-KH_4
0066	translation initiation factor IF-3	PF00707.25-IF3_C,PF05198.19-IF3_N
0067	ABC transporter ATP-binding protein	PF00005.30-ABC_tran,PF02367.20-TsaE,PF02463.22-SMC_N,PF12399.11-BCA_ABC_TP_C,PF13166.9-AAA_13,PF13175.9-AAA_15,PF13191.9-AAA_16,PF13304.9-AAA_21,PF13401.9-AAA_22,PF13476.9-AAA_23,PF13521.9-AAA_28,PF13555.9-AAA_29,PF13604.9-AAA_30,PF13671.9-AAA_33,PF00448.25-SRP54,PF01078.24-Mg_chelatase,PF01926.26-MMR_HSR1,PF03193.19-RsgA_GTPase,PF12128.11-DUF3584,PF13481.9-AAA_25,PF13514.9-AAA_27,PF13558.9-SbcC_Walker_B,PF19993.2-DO-GTPase2
0068	ATP-dependent Clp protease proteolytic subunit	PF00574.26-CLP_protease
0069	HU family DNA-binding protein	PF00216.24-Bac_DNA_binding,PF18291.4-HU-HIG
0070	recombination mediator RecR	PF01751.25-Toprim,PF02132.18-RecR,PF13662.9-Toprim_4,PF00633.26-HHH,PF14520.9-HHH_5
0071	ribulose-5-phosphate 3-epimerase	PF00834.22-Ribul_P_3_epim,PF01729.22-QRPTase_C,PF00977.24-His_biosynth,PF02581.20-TMP-TENI
0072	uracil-DNA glycosylase	PF03167.22-UDG
0073	guanylate kinase	PF00625.24-Guanylate_kin,PF03193.19-RsgA_GTPase,PF13191.9-AAA_16,PF13238.9-AAA_18,PF13401.9-AAA_22,PF13671.9-AAA_33,PF00005.30-ABC_tran,PF07931.15-CPT,PF13476.9-AAA_23,PF13555.9-AAA_29
0074	adenylate kinase	PF00406.25-ADK,PF05191.17-ADK_lid,PF13207.9-AAA_17,PF13238.9-AAA_18,PF13671.9-AAA_33,PF02223.20-Thymidylate_kin,PF13521.9-AAA_28,PF00448.25-SRP54,PF02224.21-Cytidylate_kin,PF17213.6-Hydin_ADK
0075	superoxide dismutase	PF00081.25-Sod_Fe_N,PF02777.21-Sod_Fe_C
0076	30S ribosomal protein S4	PF00163.22-Ribosomal_S4,PF01479.28-S4,PF13275.9-S4_2
0077	3-isopropylmalate dehydratase small subunit	PF00694.22-Aconitase_C
0078	50S ribosomal protein L5	PF00281.22-Ribosomal_L5,PF00673.24-Ribosomal_L5_C
0079	hypoxanthine phosphoribosyltransferase	PF00156.30-Pribosyltran,PF14681.9-UPRTase,PF02882.22-THF_DHG_CYH_C
0080	ribosome recycling factor	PF01765.22-RRF
0081	30S ribosomal protein S9	PF00380.22-Ribosomal_S9
0082	50S ribosomal protein L6	PF00347.26-Ribosomal_L6
0083	50S ribosomal protein L17	PF01196.22-Ribosomal_L17
0084	thiol peroxidase	PF00578.24-AhpC-TSA,PF08534.13-Redoxin
0085	50S ribosomal protein L15	PF00828.22-Ribosomal_L27A
0086	phosphopantetheine adenylyltransferase	PF01467.29-CTP_transf_like,PF08218.14-Citrate_ly_lig,PF11576.11-HcgB
0087	30S ribosomal protein S7	PF00177.24-Ribosomal_S7
0088	30S ribosomal protein S16	PF00886.22-Ribosomal_S16
0089	50S ribosomal protein L11	PF00298.22-Ribosomal_L11,PF03946.17-Ribosomal_L11_N
0090	organic hydroperoxide resistance protein	PF02566.22-OsmC,PF05305.17-DUF732
0091	50S ribosomal protein L23	PF00276.23-Ribosomal_L23
0092	30S ribosomal protein S12	PF00164.28-Ribosom_S12_S23
0093	30S ribosomal protein S11	PF00411.22-Ribosomal_S11,PF00208.24-ELFV_dehydrog
0094	50S ribosomal protein L19	PF01245.23-Ribosomal_L19,PF01835.22-MG2
0095	30S ribosomal protein S8	PF00410.22-Ribosomal_S8
0096	50S ribosomal protein L7/L12	PF00542.22-Ribosomal_L12,PF16320.8-Ribosomal_L12_N
0097	50S ribosomal protein L20	PF00453.21-Ribosomal_L20
0098	30S ribosomal protein S13	PF00416.25-Ribosomal_S13,PF05833.14-NFACT_N
0099	50S ribosomal protein L14	PF00238.22-Ribosomal_L14,PF11213.11-DUF3006
0100	sulfur carrier chaperone involved in Fe-S cluster assembly	PF01521.23-Fe-S_biosyn
0101	zinc ribbon domain-containing protein YjdM	PF01096.21-TFIIS_C,PF03831.17-YjdM,PF07282.14-OrfB_Zn_ribbon,PF08271.15-TF_Zn_Ribbon,PF08274.15-YjdM_Zn_Ribbon,PF08792.13-A2L_zn_ribbon,PF09723.13-Zn-ribbon_8,PF10571.12-UPF0547,PF11781.11-zf-RRN7,PF12760.10-Zn_Tnp_IS1595,PF13717.9-zinc_ribbon_4,PF03119.19-DNA_ligase_ZBD,PF03604.16-DNA_RNApol_7kD,PF07191.15-zinc-ribbons_6,PF08063.15-PADR1,PF14311.9-DUF4379,PF14354.9-Lar_restr_allev,PF14446.9-Prok-RING_1,PF14690.9-zf-ISL3
0102	thioredoxin	PF00085.23-Thioredoxin,PF13098.9-Thioredoxin_2,PF13899.9-Thioredoxin_7,PF13905.9-Thioredoxin_8,PF00578.24-AhpC-TSA,PF08534.13-Redoxin,PF13192.9-Thioredoxin_3,PF13728.9-TraF,PF14595.9-Thioredoxin_9,PF04756.16-OST3_OST6,PF05768.17-Glrx-like,PF01323.23-DSBA,PF07449.14-HyaE,PF07689.15-KaiB
0103	30S ribosomal protein S10	PF00338.25-Ribosomal_S10,PF18074.4-PriA_C
0104	30S ribosomal protein S14	PF00253.24-Ribosomal_S14,PF10977.11-DUF2797,PF12728.10-HTH_17,PF18912.3-DZR_2,PF19474.2-DUF6011
0105	30S ribosomal protein S15	PF00312.25-Ribosomal_S15
0106	30S ribosomal protein S17	PF00366.23-Ribosomal_S17
0107	HU family DNA-binding protein	PF00216.24-Bac_DNA_binding,PF18291.4-HU-HIG,PF00699.23-Urease_beta
0108	50S ribosomal protein L27	PF01016.22-Ribosomal_L27
0109	acyl carrier protein	PF00550.28-PP-binding,PF14573.9-PP-binding_2
0110	ribosomal protein S18	PF01084.23-Ribosomal_S18
0111	translation initiation factor IF-1	PF01176.22-eIF-1a,PF16745.8-RsgA_N
0112	cold shock protein	PF00313.25-CSD,PF08206.14-OB_RNB
0113	50S ribosomal protein L35	PF01632.22-Ribosomal_L35p
0114	50S ribosomal protein L30	PF00327.23-Ribosomal_L30,PF01916.20-DS,PF08499.15-PDEase_I_N
